Source: ftp://192.168.100.196:8196/tmp/
Dest:   file:///dev/
  zero196.img  ->  null

     11534336 bytes         5.50 MB/sec avg         5.50 MB/sec inst
     26214400 bytes         6.25 MB/sec avg         7.00 MB/sec inst
     49283072 bytes         7.83 MB/sec avg        11.00 MB/sec inst
     89128960 bytes        10.62 MB/sec avg        19.00 MB/sec inst
    146800640 bytes        14.00 MB/sec avg        27.50 MB/sec inst
    190840832 bytes        15.17 MB/sec avg        21.00 MB/sec inst
    221249536 bytes        15.07 MB/sec avg        14.50 MB/sec inst
    252706816 bytes        15.06 MB/sec avg        15.00 MB/sec inst
    296747008 bytes        15.72 MB/sec avg        21.00 MB/sec inst
    354418688 bytes        16.90 MB/sec avg        27.50 MB/sec inst
    397410304 bytes        17.23 MB/sec avg        20.50 MB/sec inst
    434110464 bytes        17.25 MB/sec avg        17.50 MB/sec inst
    473956352 bytes        17.38 MB/sec avg        19.00 MB/sec inst
    514850816 bytes        17.54 MB/sec avg        19.50 MB/sec inst
    563085312 bytes        17.90 MB/sec avg        23.00 MB/sec inst
    618659840 bytes        18.44 MB/sec avg        26.50 MB/sec inst
    670040064 bytes        18.79 MB/sec avg        24.50 MB/sec inst
    738197504 bytes        19.56 MB/sec avg        32.50 MB/sec inst
    810549248 bytes        20.34 MB/sec avg        34.50 MB/sec inst
    853540864 bytes        20.35 MB/sec avg        20.50 MB/sec inst
    892338176 bytes        20.26 MB/sec avg        18.50 MB/sec inst
    936378368 bytes        20.30 MB/sec avg        21.00 MB/sec inst
    991952896 bytes        20.57 MB/sec avg        26.50 MB/sec inst
   1056964608 bytes        21.00 MB/sec avg        31.00 MB/sec inst
   1112539136 bytes        21.22 MB/sec avg        26.50 MB/sec inst
   1177550848 bytes        21.60 MB/sec avg        31.00 MB/sec inst
   1254096896 bytes        22.15 MB/sec avg        36.50 MB/sec inst
   1348468736 bytes        22.96 MB/sec avg        45.00 MB/sec inst
   1420820480 bytes        23.36 MB/sec avg        34.50 MB/sec inst
   1478492160 bytes        23.50 MB/sec avg        27.50 MB/sec inst
   1526726656 bytes        23.48 MB/sec avg        23.00 MB/sec inst
   1568669696 bytes        23.37 MB/sec avg        20.00 MB/sec inst
   1608515584 bytes        23.24 MB/sec avg        19.00 MB/sec inst
   1686110208 bytes        23.65 MB/sec avg        37.00 MB/sec inst
   1825570816 bytes        24.87 MB/sec avg        66.50 MB/sec inst
   1929379840 bytes        25.56 MB/sec avg        49.50 MB/sec inst
   2018508800 bytes        26.01 MB/sec avg        42.50 MB/sec inst
   2128609280 bytes        26.71 MB/sec avg        52.50 MB/sec inst
   2233466880 bytes        27.31 MB/sec avg        50.00 MB/sec inst
   2368733184 bytes        28.24 MB/sec avg        64.50 MB/sec inst
   2500853760 bytes        29.09 MB/sec avg        63.00 MB/sec inst
   2620391424 bytes        29.75 MB/sec avg        57.00 MB/sec inst
   2732589056 bytes        30.30 MB/sec avg        53.50 MB/sec inst
