Source: ftp://192.168.100.194:8194/tmp/
Dest:   file:///dev/
  zero194.img  ->  null

            0 bytes         0.00 MB/sec avg         0.00 MB/sec inst
     27262976 bytes         6.50 MB/sec avg        13.00 MB/sec inst
     49283072 bytes         7.83 MB/sec avg        10.50 MB/sec inst
     62914560 bytes         7.50 MB/sec avg         6.50 MB/sec inst
     74448896 bytes         7.10 MB/sec avg         5.50 MB/sec inst
     83886080 bytes         6.67 MB/sec avg         4.50 MB/sec inst
     90177536 bytes         6.14 MB/sec avg         3.00 MB/sec inst
     99614720 bytes         5.94 MB/sec avg         4.50 MB/sec inst
    109051904 bytes         5.78 MB/sec avg         4.50 MB/sec inst
    117440512 bytes         5.60 MB/sec avg         4.00 MB/sec inst
    125829120 bytes         5.45 MB/sec avg         4.00 MB/sec inst
    143654912 bytes         5.71 MB/sec avg         8.50 MB/sec inst
    180355072 bytes         6.62 MB/sec avg        17.50 MB/sec inst
    225443840 bytes         7.68 MB/sec avg        21.50 MB/sec inst
    257949696 bytes         8.20 MB/sec avg        15.50 MB/sec inst
    272629760 bytes         8.12 MB/sec avg         7.00 MB/sec inst
    284164096 bytes         7.97 MB/sec avg         5.50 MB/sec inst
    306184192 bytes         8.11 MB/sec avg        10.50 MB/sec inst
    335544320 bytes         8.42 MB/sec avg        14.00 MB/sec inst
    354418688 bytes         8.45 MB/sec avg         9.00 MB/sec inst
    368050176 bytes         8.36 MB/sec avg         6.50 MB/sec inst
    390070272 bytes         8.45 MB/sec avg        10.50 MB/sec inst
    412090368 bytes         8.54 MB/sec avg        10.50 MB/sec inst
    433061888 bytes         8.60 MB/sec avg        10.00 MB/sec inst
    467664896 bytes         8.92 MB/sec avg        16.50 MB/sec inst
    524288000 bytes         9.62 MB/sec avg        27.00 MB/sec inst
    571473920 bytes        10.09 MB/sec avg        22.50 MB/sec inst
    598736896 bytes        10.20 MB/sec avg        13.00 MB/sec inst
    623902720 bytes        10.26 MB/sec avg        12.00 MB/sec inst
    644874240 bytes        10.25 MB/sec avg        10.00 MB/sec inst
    654311424 bytes        10.06 MB/sec avg         4.50 MB/sec inst
    670040064 bytes         9.98 MB/sec avg         7.50 MB/sec inst
    683671552 bytes         9.88 MB/sec avg         6.50 MB/sec inst
    693108736 bytes         9.72 MB/sec avg         4.50 MB/sec inst
    699400192 bytes         9.53 MB/sec avg         3.00 MB/sec inst
    706740224 bytes         9.36 MB/sec avg         3.50 MB/sec inst
    725614592 bytes         9.35 MB/sec avg         9.00 MB/sec inst
    741343232 bytes         9.30 MB/sec avg         7.50 MB/sec inst
    762314752 bytes         9.32 MB/sec avg        10.00 MB/sec inst
    799014912 bytes         9.52 MB/sec avg        17.50 MB/sec inst
    855638016 bytes         9.95 MB/sec avg        27.00 MB/sec inst
    893386752 bytes        10.14 MB/sec avg        18.00 MB/sec inst
    926941184 bytes        10.28 MB/sec avg        16.00 MB/sec inst
    952107008 bytes        10.32 MB/sec avg        12.00 MB/sec inst
    978321408 bytes        10.37 MB/sec avg        12.50 MB/sec inst
    998244352 bytes        10.35 MB/sec avg         9.50 MB/sec inst
   1028653056 bytes        10.44 MB/sec avg        14.50 MB/sec inst
   1055916032 bytes        10.49 MB/sec avg        13.00 MB/sec inst
   1082130432 bytes        10.53 MB/sec avg        12.50 MB/sec inst
   1123024896 bytes        10.71 MB/sec avg        19.50 MB/sec inst
   1167065088 bytes        10.91 MB/sec avg        21.00 MB/sec inst
   1201668096 bytes        11.02 MB/sec avg        16.50 MB/sec inst
   1235222528 bytes        11.11 MB/sec avg        16.00 MB/sec inst
   1261436928 bytes        11.14 MB/sec avg        12.50 MB/sec inst
   1297088512 bytes        11.25 MB/sec avg        17.00 MB/sec inst
   1355808768 bytes        11.54 MB/sec avg        28.00 MB/sec inst
   1407188992 bytes        11.77 MB/sec avg        24.50 MB/sec inst
   1452277760 bytes        11.94 MB/sec avg        21.50 MB/sec inst
   1479540736 bytes        11.96 MB/sec avg        13.00 MB/sec inst
   1510998016 bytes        12.01 MB/sec avg        15.00 MB/sec inst
   1560281088 bytes        12.20 MB/sec avg        23.50 MB/sec inst
   1605369856 bytes        12.35 MB/sec avg        21.50 MB/sec inst
   1643118592 bytes        12.44 MB/sec avg        18.00 MB/sec inst
   1695547392 bytes        12.63 MB/sec avg        25.00 MB/sec inst
   1732247552 bytes        12.71 MB/sec avg        17.50 MB/sec inst
   1769996288 bytes        12.79 MB/sec avg        18.00 MB/sec inst
   1823473664 bytes        12.98 MB/sec avg        25.50 MB/sec inst
   1873805312 bytes        13.14 MB/sec avg        24.00 MB/sec inst
   1928331264 bytes        13.33 MB/sec avg        26.00 MB/sec inst
   1983905792 bytes        13.51 MB/sec avg        26.50 MB/sec inst
   2035286016 bytes        13.67 MB/sec avg        24.50 MB/sec inst
   2090860544 bytes        13.85 MB/sec avg        26.50 MB/sec inst
   2144337920 bytes        14.01 MB/sec avg        25.50 MB/sec inst
   2195718144 bytes        14.15 MB/sec avg        24.50 MB/sec inst
   2253389824 bytes        14.33 MB/sec avg        27.50 MB/sec inst
   2304770048 bytes        14.46 MB/sec avg        24.50 MB/sec inst
   2358247424 bytes        14.60 MB/sec avg        25.50 MB/sec inst
   2413821952 bytes        14.76 MB/sec avg        26.50 MB/sec inst
   2465202176 bytes        14.88 MB/sec avg        24.50 MB/sec inst
   2520776704 bytes        15.02 MB/sec avg        26.50 MB/sec inst
   2573205504 bytes        15.15 MB/sec avg        25.00 MB/sec inst
   2625634304 bytes        15.27 MB/sec avg        25.00 MB/sec inst
   2683305984 bytes        15.42 MB/sec avg        27.50 MB/sec inst
   2733637632 bytes        15.52 MB/sec avg        24.00 MB/sec inst
   2787115008 bytes        15.64 MB/sec avg        25.50 MB/sec inst
   2842689536 bytes        15.76 MB/sec avg        26.50 MB/sec inst
   2894069760 bytes        15.86 MB/sec avg        24.50 MB/sec inst
   2950692864 bytes        15.99 MB/sec avg        27.00 MB/sec inst
   3017801728 bytes        16.17 MB/sec avg        32.00 MB/sec inst
   3100639232 bytes        16.43 MB/sec avg        39.50 MB/sec inst
   3206545408 bytes        16.80 MB/sec avg        50.50 MB/sec inst
   3296722944 bytes        17.09 MB/sec avg        43.00 MB/sec inst
   3364880384 bytes        17.25 MB/sec avg        32.50 MB/sec inst
   3445620736 bytes        17.48 MB/sec avg        38.50 MB/sec inst
   3550478336 bytes        17.82 MB/sec avg        50.00 MB/sec inst
   3632267264 bytes        18.04 MB/sec avg        39.00 MB/sec inst
   3701473280 bytes        18.20 MB/sec avg        33.00 MB/sec inst
   3785359360 bytes        18.42 MB/sec avg        40.00 MB/sec inst
   3895459840 bytes        18.76 MB/sec avg        52.50 MB/sec inst
   4002414592 bytes        19.08 MB/sec avg        51.00 MB/sec inst
   4108320768 bytes        19.40 MB/sec avg        50.50 MB/sec inst
   4222615552 bytes        19.74 MB/sec avg        54.50 MB/sec inst
Source: ftp://192.168.100.194:8194/tmp/
Dest:   file:///dev/
  zero194.img  ->  null

            0 bytes         0.00 MB/sec avg         0.00 MB/sec inst
      1048576 bytes         0.25 MB/sec avg         0.50 MB/sec inst
      7340032 bytes         1.17 MB/sec avg         3.00 MB/sec inst
     15728640 bytes         1.87 MB/sec avg         4.00 MB/sec inst
     26214400 bytes         2.50 MB/sec avg         5.00 MB/sec inst
     41943040 bytes         3.33 MB/sec avg         7.50 MB/sec inst
     53477376 bytes         3.64 MB/sec avg         5.50 MB/sec inst
     61865984 bytes         3.69 MB/sec avg         4.00 MB/sec inst
