megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2392,0,87
0.1875,0.10,15.7327,0,87
0.4375,0.10,36.6972,0,183
0.8750,0.10,73.3886,0,393
1.7500,0.10,146.8006,0,760
4.4375,0.10,372.4642,0,1983
6.1250,0.10,513.8022,0,3678
6.1875,0.10,518.5577,0,5015
6.1875,0.10,519.5023,0,6798
6.1875,0.10,518.6095,0,9218
6.1875,0.10,519.5231,0,9297
6.1875,0.10,518.8895,0,12548
6.2500,0.10,524.4244,0,12644
6.1875,0.10,519.0451,0,12731
6.1875,0.10,519.0451,0,17109
6.1875,0.10,519.0659,0,17590
6.1875,0.10,519.0244,0,22273
6.2500,0.10,524.2828,0,27036
6.1875,0.10,519.0711,0,31195
6.1875,0.10,518.9621,0,34350
6.1875,0.10,519.1022,0,37469
6.1875,0.10,519.0711,0,40606
6.1875,0.10,518.9673,0,43743
6.1875,0.10,519.0970,0,46872
6.2500,0.10,524.2932,0,50035
6.1875,0.10,519.0607,0,53233
6.1875,0.10,519.0295,0,56388
6.1875,0.10,519.0451,0,59516
6.1875,0.10,519.0244,0,62662
6.1875,0.10,519.0607,0,65816
6.2500,0.10,523.9579,0,69014
6.1875,0.10,518.8531,0,72204
6.1875,0.10,519.2320,0,75367
6.1875,0.10,519.0711,0,78495
6.2500,0.10,524.3352,0,81676
6.1875,0.10,519.0555,0,84813
6.1875,0.10,519.2840,0,87977
6.9375,0.10,581.9888,0,91533
8.2500,0.10,692.0463,0,95684
8.2500,0.10,692.0602,0,99869
1.1250,0.10,94.2936,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
0.0000,0.10,0.0000,0,100446
7.1875,0.10,602.9372,0,104099
56.8125,0.10,4765.5396,0,131082
0.0625,0.10,5.2432,0,131082
4.7500,0.10,398.2478,0,131082
6.1875,0.10,519.0295,0,131082
6.1875,0.10,518.9932,0,131082
6.1875,0.10,519.1022,0,131082
6.2500,0.10,524.1674,0,131082
6.1250,0.10,514.0233,0,131082
6.2500,0.10,524.3824,0,131082
6.1875,0.10,519.1489,0,131082
6.1875,0.10,519.0244,6,64619
6.2500,0.10,524.2513,54,58747
6.1875,0.10,519.0711,420,65537
6.1875,0.10,519.0503,0,65537
6.1875,0.10,519.0451,0,65537
6.1875,0.10,519.0451,0,65537
6.1875,0.10,519.0295,0,65537
6.1875,0.10,519.0607,0,65537
6.2500,0.10,524.0260,0,65537
6.1875,0.10,519.1593,0,65537
6.1875,0.10,518.9258,0,65537
6.1875,0.10,519.0711,0,65537
6.1250,0.10,513.7252,0,65537
6.2500,0.10,524.1517,0,65537
6.1875,0.10,519.1489,0,65537
6.1875,0.10,519.0970,0,65537
6.1875,0.10,519.0970,0,65537
6.1875,0.10,519.0451,0,65537
6.2500,0.10,524.4821,0,65537
0.3125,0.10,26.2173,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
0.0000,0.10,0.0000,0,65537
10.1250,0.10,849.1173,0,65537
20.6875,0.10,1735.8272,0,65537
34.2500,0.10,2871.8920,0,65537
6.1250,0.10,514.0233,0,65537
6.1875,0.10,519.0555,0,65537
6.1875,0.10,519.0503,0,65537
6.1875,0.10,519.0244,2050,32794
6.1875,0.10,519.0659,0,32794
6.1875,0.10,519.0347,0,32794
6.1875,0.10,519.0555,0,32794
6.2500,0.10,524.3090,0,32794
6.1875,0.10,518.8739,0,32794
6.2500,0.10,524.3195,0,32794
6.1875,0.10,518.9310,0,32794
6.1875,0.10,518.9725,0,32794
5.5000,0.10,461.5581,0,32794
5.3125,0.10,445.7072,0,32794
5.4375,0.10,456.1488,0,32794
6.1875,0.10,519.0503,0,32794
6.1875,0.10,519.0451,0,32794
5.6875,0.10,477.0973,0,32794
5.3125,0.10,445.6493,0,32794
5.4375,0.10,456.1442,0,32794
6.0000,0.10,503.2460,0,32794
6.1250,0.10,513.8690,0,32794
5.8750,0.10,492.8406,0,32794
5.3750,0.10,450.8832,0,32794
5.4375,0.10,456.1351,0,32794
5.8125,0.10,487.5878,0,32794
6.1875,0.10,518.7754,0,32794
5.8750,0.10,492.8307,0,32812
5.5625,0.10,466.8357,0,32812
5.3750,0.10,450.9012,0,32812
5.7500,0.10,482.3353,0,32812
6.0625,0.10,508.5543,0,32812
6.0000,0.10,503.3416,0,32812
5.6250,0.10,471.8403,0,32812
5.4375,0.10,456.1260,0,32873
5.6875,0.10,477.0973,0,32873
6.0000,0.10,503.3265,0,32873
6.0625,0.10,508.5594,0,32873
5.7500,0.10,482.3305,0,32873
5.5000,0.10,461.3873,0,32873
5.6250,0.10,471.8545,0,32873
5.9375,0.10,498.0836,0,32873
6.0625,0.10,508.4221,0,33021
5.8125,0.10,487.7098,0,33021
5.6250,0.10,471.8734,0,33021
5.6250,0.10,471.8498,0,33021
5.8125,0.10,487.5878,0,33021
6.0625,0.10,508.5594,0,33021
5.9375,0.10,497.9640,0,33021
5.6875,0.10,476.9304,0,33249
5.6250,0.10,471.7554,0,33249
5.8125,0.10,487.7732,0,33249
6.0000,0.10,503.2813,0,33249
6.0000,0.10,503.4222,0,33249
5.8750,0.10,492.8258,0,33249
5.5625,0.10,466.5370,0,33249
5.8125,0.10,487.5878,0,33555
6.0000,0.10,503.3366,0,33555
6.0000,0.10,503.3920,0,33555
5.9375,0.10,497.9690,0,33555
5.7500,0.10,482.5669,0,33563
5.7500,0.10,482.1376,0,33563
5.9375,0.10,498.0686,0,33563
6.0000,0.10,503.4373,0,33563
6.0000,0.10,503.4222,0,33948
5.8750,0.10,492.8307,0,33948
5.7500,0.10,482.3498,0,33948
5.8750,0.10,492.8406,0,33948
6.0625,0.10,508.5492,0,33948
6.0625,0.10,508.5441,0,33948
5.9375,0.10,498.0537,0,33948
5.8125,0.10,487.6171,0,34411
5.8750,0.10,492.8307,0,34411
6.0000,0.10,503.1957,0,34411
6.1250,0.10,513.9204,0,34411
6.0625,0.10,508.5644,0,34411
5.8750,0.10,492.8012,0,34411
5.8750,0.10,492.8603,0,34420
5.9375,0.10,498.0786,0,34953
6.1875,0.10,519.0607,0,34953
6.1250,0.10,513.7817,0,34953
6.0000,0.10,503.3165,0,34953
5.9375,0.10,498.1035,0,34953
5.9375,0.10,498.0487,0,34953
6.1250,0.10,513.7971,0,34961
6.1875,0.10,519.0295,0,35564
6.0625,0.10,508.5797,0,35564
6.0000,0.10,503.2158,0,35564
6.0000,0.10,503.4222,0,35564
6.0625,0.10,508.5594,0,35573
6.2500,0.10,524.2985,0,35573
6.1875,0.10,519.0244,0,35573
6.1250,0.10,513.7303,0,36246
6.0000,0.10,503.3920,0,36246
6.0625,0.10,508.5594,0,36246
6.1875,0.10,518.9621,0,36255
6.2500,0.10,524.1046,0,36255
6.2500,0.10,524.2513,0,36255
6.1250,0.10,513.8639,0,36255
6.0625,0.10,508.6713,0,36997
6.1875,0.10,519.0503,0,36997
6.2500,0.10,524.3824,0,36997
6.3125,0.10,529.2927,0,37006
6.2500,0.10,524.5450,0,37006
6.1250,0.10,513.8022,0,37006
6.1875,0.10,518.8895,0,37006
6.3125,0.10,529.6898,0,37810
6.3125,0.10,529.5362,0,37819
6.3125,0.10,529.5468,0,37819
6.2500,0.10,524.2670,0,37819
6.2500,0.10,524.3037,0,37819
6.2500,0.10,524.2670,0,37819
6.3750,0.10,534.7845,0,37819
6.3750,0.10,534.7684,0,38693
6.3750,0.10,534.7791,0,38693
6.2500,0.10,524.2828,0,38693
6.3125,0.10,529.5256,0,38693
6.3750,0.10,534.7845,0,38701
6.3750,0.10,534.7738,0,38701
6.4375,0.10,540.0166,0,39619
6.5000,0.10,545.0197,0,39628
6.3125,0.10,529.7905,0,39628
6.3750,0.10,534.7684,0,39628
6.4375,0.10,540.0166,0,39628
6.5000,0.10,545.1123,0,39628
6.4375,0.10,539.8655,0,39636
6.5000,0.10,545.5159,0,40606
6.4375,0.10,539.8061,0,40606
6.4375,0.10,540.2381,0,40615
6.5000,0.10,545.2650,0,40615
6.5000,0.10,545.2486,0,40615
6.5625,0.10,550.5354,0,40615
6.5625,0.10,550.2383,0,40624
6.5000,0.10,545.2595,0,41646
6.5000,0.10,544.9707,0,41646
6.5625,0.10,550.7888,0,41646
6.5625,0.10,550.5189,0,41646
6.6875,0.10,561.2070,0,41655
6.5625,0.10,550.5299,0,41655
6.5625,0.10,550.4914,0,42721
6.5625,0.10,550.4308,0,42730
6.6250,0.10,555.8231,0,42730
6.6875,0.10,560.9433,0,42730
6.6250,0.10,555.5453,0,42730
6.7500,0.10,566.3670,0,42738
6.5625,0.10,550.5079,0,42738
6.7500,0.10,566.1971,0,43848
6.6250,0.10,555.7675,0,43857
6.6875,0.10,560.8423,0,43857
6.8125,0.10,571.3596,0,43857
6.7500,0.10,566.3500,0,43866
6.6875,0.10,560.9994,0,43866
6.7500,0.10,566.5200,0,45019
6.7500,0.10,566.2141,0,45028
6.7500,0.10,566.2367,0,45028
6.8125,0.10,571.3425,0,45028
6.8125,0.10,571.4511,0,45037
6.8125,0.10,571.2568,0,45037
6.8125,0.10,571.6683,0,46234
6.8125,0.10,571.5082,0,46234
6.8125,0.10,571.2568,0,46242
6.8125,0.10,571.6912,0,46242
6.9375,0.10,582.0470,0,46242
6.8750,0.10,576.6880,0,46242
6.9375,0.10,582.0062,0,47475
6.8750,0.10,576.7283,0,47483
6.8750,0.10,576.7110,0,47483
6.8750,0.10,576.4286,0,47483
7.0000,0.10,587.3083,0,47492
6.9375,0.10,582.0645,0,47492
7.0000,0.10,587.2965,0,47492
6.9375,0.10,581.9539,0,48759
7.0000,0.10,587.2084,0,48759
6.9375,0.10,581.9480,0,48759
7.0000,0.10,587.2084,0,48768
7.0000,0.10,587.2026,0,48768
7.0625,0.10,592.4454,0,48777
7.0625,0.10,592.4336,0,50070
7.0000,0.10,587.1967,0,50070
7.0625,0.10,592.4632,0,50070
7.0625,0.10,592.4454,0,50079
7.0625,0.10,592.4336,0,50079
7.1250,0.10,597.7003,0,50087
7.0625,0.10,592.3921,0,51407
7.1875,0.10,602.7263,0,51416
7.1250,0.10,597.6883,0,51416
7.1250,0.10,597.6823,0,51424
7.0625,0.10,592.4514,0,51424
7.1875,0.10,602.9071,0,51424
7.2500,0.10,608.2410,0,52779
7.1875,0.10,603.1785,0,52779
7.1875,0.10,602.8950,0,52787
7.1250,0.10,597.6644,0,52787
7.1875,0.10,602.9613,0,52787
7.2500,0.10,608.1741,0,52796
7.2500,0.10,608.1741,0,54168
7.2500,0.10,608.1741,0,54168
7.2500,0.10,608.1680,0,54177
7.3125,0.10,613.4170,0,54177
7.2500,0.10,608.0889,0,54177
7.3125,0.10,613.4844,0,54186
7.2500,0.10,607.9127,0,55592
7.3125,0.10,613.4354,0,55601
7.3750,0.10,618.7341,0,55601
7.3125,0.10,613.3188,0,55610
7.3750,0.10,618.9384,0,55610
7.3125,0.10,613.4231,0,57026
7.3750,0.10,618.6598,0,57034
7.3750,0.10,618.6784,0,57034
7.3750,0.10,618.5423,0,57034
7.4375,0.10,624.0463,0,57043
7.3750,0.10,618.6289,0,57043
7.4375,0.10,623.9027,0,58494
7.4375,0.10,623.9277,0,58502
7.4375,0.10,623.7967,0,58502
7.4375,0.10,623.9214,0,58502
7.4375,0.10,623.9714,0,58511
7.5000,0.10,629.1708,0,58511
7.4375,0.10,623.8653,0,59970
7.5625,0.10,634.3948,0,59979
7.5000,0.10,629.1393,0,59979
7.5000,0.10,629.1645,0,59979
7.5000,0.10,629.1582,0,59988
7.5625,0.10,634.3948,0,59988
7.5000,0.10,629.1141,0,61473
7.6250,0.10,639.3181,0,61482
7.5625,0.10,634.4837,0,61482
7.5625,0.10,634.5090,0,61491
7.6250,0.10,639.7337,0,61491
7.5625,0.10,634.2870,0,63003
7.5625,0.10,634.4583,0,63003
7.6250,0.10,639.6633,0,63011
7.6250,0.10,639.6250,0,63011
7.6250,0.10,639.5994,0,63020
7.6875,0.10,644.9065,0,63029
7.6875,0.10,644.8549,0,64540
7.5625,0.10,634.3821,0,64549
7.5625,0.10,634.4202,0,64549
7.6250,0.10,639.5610,0,64549
7.5625,0.10,634.4519,0,64558
7.5625,0.10,634.3821,0,64558
7.6875,0.10,644.8678,0,66096
7.5625,0.10,634.4392,0,66096
7.6875,0.10,644.8291,0,66105
7.6250,0.10,639.6378,0,66105
7.5000,0.10,629.1456,0,66113
7.5625,0.10,634.2553,0,67677
7.5625,0.10,634.1538,0,67677
7.5625,0.10,634.7185,0,67686
7.5625,0.10,634.4075,0,67686
7.6250,0.10,639.6314,0,67695
7.6250,0.10,639.6378,0,67695
7.5625,0.10,634.3948,0,67896
7.5000,0.10,628.6678,0,67896
7.5625,0.10,634.5852,0,67896
7.5000,0.10,629.2274,0,67896
7.5625,0.10,634.5027,0,67896
7.5625,0.10,634.4900,0,67896
7.6250,0.10,639.6250,0,67896
7.5625,0.10,634.4075,0,67896
7.5625,0.10,634.3694,0,67896
7.5000,0.10,629.1330,0,67896
7.5000,0.10,629.1708,0,67896
7.5000,0.10,629.0953,0,67896
7.5000,0.10,629.1645,0,67896
7.5625,0.10,634.3885,0,67896
7.5625,0.10,634.3948,0,67896
7.5625,0.10,634.3948,0,67896
7.5000,0.10,629.1771,0,67896
7.5000,0.10,629.1141,0,67896
7.4375,0.10,623.7281,0,67896
7.5000,0.10,629.3029,0,67896
7.5000,0.10,629.1834,0,67896
7.5000,0.10,629.1393,0,67896
7.5625,0.10,634.3250,0,67896
7.5000,0.10,629.2022,0,67896
7.5000,0.10,629.0387,0,67896
7.4375,0.10,624.0400,0,67896
7.4375,0.10,623.9027,0,67896
7.5000,0.10,629.0450,0,67896
7.4375,0.10,623.9838,0,67896
7.5000,0.10,629.1141,0,67896
7.5000,0.10,629.1016,0,67896
7.5000,0.10,629.2085,0,67896
7.4375,0.10,623.8965,0,67896
7.4375,0.10,623.9152,0,67896
7.4375,0.10,623.8778,0,67896
7.4375,0.10,623.9152,0,67896
7.3750,0.10,618.6598,0,67896
7.5000,0.10,628.6929,0,67896
7.5000,0.10,629.5989,0,67896
7.4375,0.10,623.8653,0,67896
7.4375,0.10,623.9277,0,67896
7.3750,0.10,618.7031,0,67896
7.4375,0.10,623.9027,0,67896
7.3750,0.10,618.6351,0,67896
