megabytes,real_sec,rate_Mbps,retrans,cwnd
9.8750,0.10,827.8121,0,2018
11.7500,0.10,985.6713,0,2018
11.8125,0.10,991.4496,0,2018
11.8125,0.10,990.3299,0,2079
11.7500,0.10,986.2236,0,2079
11.8125,0.10,990.9142,0,2079
11.4375,0.10,959.4470,0,2228
10.7500,0.10,901.8295,0,3451
9.7500,0.10,817.8402,0,5671
9.0625,0.10,760.2632,0,10057
8.5625,0.10,718.2243,0,13745
7.1250,0.10,597.6883,0,18429
7.0000,0.10,587.2026,0,21749
7.8125,0.10,655.3534,0,26459
6.5625,0.10,550.5134,0,30461
6.5000,0.10,544.7475,0,34446
6.5000,0.10,545.6688,0,38430
7.2500,0.10,608.2897,0,43429
6.4375,0.10,540.0166,0,47011
6.1875,0.10,519.0451,0,50472
6.1875,0.10,519.0451,0,53958
6.1875,0.10,519.0503,0,57445
6.2500,0.10,524.2828,0,60905
6.2500,0.10,524.2775,0,64357
6.1875,0.10,519.0555,0,67739
6.1875,0.10,519.0295,0,72125
7.3750,0.10,618.6722,0,76224
2.0625,0.10,172.9459,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
0.0000,0.10,0.0000,0,77316
12.5000,0.10,1048.6284,0,83983
43.3750,0.10,3635.7229,0,107113
12.3125,0.10,1033.5088,0,113693
9.5625,0.10,802.2890,0,118770
7.2500,0.10,607.9856,0,122641
6.8750,0.10,576.7572,0,127019
6.1875,0.10,519.1489,0,130803
6.2500,0.10,523.9527,94,62050
6.1875,0.10,519.1282,343,58747
6.2500,0.10,524.3247,171,53923
6.1875,0.10,519.1697,281,50122
6.1875,0.10,519.1438,384,54413
6.1250,0.10,513.8022,0,54413
6.1875,0.10,518.9621,0,54413
6.1875,0.10,519.1489,0,54413
6.2500,0.10,524.2932,0,54413
6.1250,0.10,513.7920,0,54413
6.8125,0.10,571.4796,0,54413
1.3750,0.10,115.3434,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
0.0000,0.10,0.0000,0,54413
18.6875,0.10,1568.0131,0,65537
41.4375,0.10,3474.1534,0,65537
10.0625,0.10,844.5259,0,65537
6.9375,0.10,582.0004,0,65537
7.2500,0.10,608.1802,0,65537
6.9375,0.10,581.9539,0,65537
6.2500,0.10,524.3037,0,65537
6.1875,0.10,519.0295,912,32768
6.3750,0.10,534.8058,0,32768
8.1875,0.10,686.7829,0,32768
8.6250,0.10,723.5391,0,32768
6.5625,0.10,550.4859,0,32768
6.1875,0.10,519.0451,0,32768
6.8125,0.10,571.4911,0,32768
8.1875,0.10,686.8448,0,32768
8.1875,0.10,686.8104,0,32768
6.5625,0.10,550.4639,0,32768
6.3750,0.10,534.8112,0,32768
7.0000,0.10,586.9443,0,32768
8.0625,0.10,676.5412,0,32768
8.0000,0.10,671.1490,0,32768
6.5000,0.10,545.2432,0,32768
6.4375,0.10,539.9356,0,32768
7.2500,0.10,608.2897,0,32768
7.9375,0.10,665.8458,0,32768
7.9375,0.10,665.7725,0,32777
6.4375,0.10,540.0706,0,32777
6.5625,0.10,550.5024,0,32777
7.3125,0.10,613.3556,0,32777
7.8750,0.10,660.6756,0,32777
7.7500,0.10,650.1236,0,32777
6.5000,0.10,545.2214,0,32786
6.7500,0.10,566.2594,0,32786
7.2500,0.10,608.1802,0,32786
7.8750,0.10,660.5500,0,32794
7.4375,0.10,623.9464,0,32794
6.6250,0.10,555.7397,0,32794
6.7500,0.10,566.1065,0,32803
7.3750,0.10,618.8207,0,32803
7.7500,0.10,650.0846,0,32803
7.3750,0.10,618.0665,0,32803
6.6250,0.10,556.2793,0,32803
6.8125,0.10,571.4739,0,32803
7.3750,0.10,618.6970,0,32812
7.6250,0.10,639.5930,0,32812
7.3125,0.10,613.4231,0,32812
6.6875,0.10,560.9826,0,32812
6.8750,0.10,576.7226,0,32812
7.3125,0.10,613.4170,0,32812
7.5625,0.10,634.3821,0,32829
7.1875,0.10,602.9493,0,32829
6.6875,0.10,560.8928,0,32838
6.9375,0.10,582.0586,0,32838
7.2500,0.10,608.1741,0,32838
7.5000,0.10,629.0450,0,32838
7.1875,0.10,603.0518,0,32864
6.6875,0.10,560.9657,0,32864
6.8750,0.10,576.6476,0,32864
7.2500,0.10,608.2714,0,32864
7.4375,0.10,623.7967,0,32864
7.1250,0.10,597.7063,0,32864
6.6875,0.10,561.0387,0,32899
6.9375,0.10,581.9597,0,32899
7.1875,0.10,602.9131,0,32899
7.3750,0.10,618.6846,0,32899
7.0000,0.10,587.1849,0,32899
6.6875,0.10,560.9601,0,32899
6.8750,0.10,576.7572,0,32943
7.1250,0.10,597.6345,0,32943
7.2500,0.10,608.2592,0,32943
7.0625,0.10,592.4040,0,32943
6.7500,0.10,566.2310,0,32943
6.8125,0.10,571.4796,0,32952
7.0625,0.10,592.4454,0,32952
7.1875,0.10,602.9553,0,33004
7.0000,0.10,587.1791,0,33004
6.7500,0.10,566.2310,0,33004
6.7500,0.10,565.9141,0,33004
7.0000,0.10,587.0088,0,33004
7.1250,0.10,597.8617,0,33004
7.0000,0.10,587.1908,0,33065
6.7500,0.10,566.1405,0,33065
6.6250,0.10,555.9677,0,33065
6.9375,0.10,582.1169,0,33065
7.0625,0.10,592.5165,0,33065
7.0000,0.10,587.1849,0,33065
6.6875,0.10,560.9994,0,33135
6.6250,0.10,555.6342,0,33135
6.8750,0.10,576.6015,0,33135
6.9375,0.10,582.1634,0,33135
6.9375,0.10,581.8549,0,33135
6.7500,0.10,566.3840,0,33135
6.6250,0.10,555.4731,0,33214
6.6875,0.10,561.2688,0,33214
6.8750,0.10,576.7053,0,33214
6.8750,0.10,576.7053,0,33214
6.7500,0.10,566.2537,0,33214
6.5625,0.10,550.5024,0,33214
6.6250,0.10,555.7453,0,33214
6.7500,0.10,566.2310,0,33310
6.8750,0.10,576.5727,0,33310
6.7500,0.10,566.3896,0,33310
6.5000,0.10,545.2486,0,33310
6.5625,0.10,550.5024,0,33310
6.6875,0.10,560.9882,0,33310
6.7500,0.10,566.2027,0,33406
6.6875,0.10,560.9040,0,33406
6.5625,0.10,550.5905,0,33406
6.4375,0.10,539.9141,0,33406
6.5625,0.10,550.5244,0,33406
6.6875,0.10,561.0723,0,33406
6.6875,0.10,560.7919,0,33520
6.5625,0.10,550.6235,0,33520
6.3750,0.10,534.8433,0,33520
6.4375,0.10,540.0112,0,33520
6.6250,0.10,555.6342,0,33520
6.5625,0.10,550.6125,0,33520
6.5625,0.10,550.5079,0,33520
6.3750,0.10,534.6936,0,33642
6.3750,0.10,534.8486,0,33642
6.5000,0.10,545.2650,0,33642
6.5000,0.10,545.2595,0,33642
6.5000,0.10,545.2432,0,33642
6.3750,0.10,534.7738,0,33642
6.3125,0.10,529.4779,0,33642
6.3750,0.10,534.7203,0,33764
6.3750,0.10,534.6775,0,33764
6.4375,0.10,539.9842,0,33764
6.4375,0.10,540.1625,0,33764
6.2500,0.10,524.2880,0,33773
6.1875,0.10,519.0088,0,33773
6.3750,0.10,534.7898,0,33904
6.3125,0.10,529.3562,0,33904
6.3750,0.10,534.5706,0,33904
6.3125,0.10,529.7905,0,33913
6.1875,0.10,519.2528,0,33913
6.1875,0.10,518.9413,0,33913
6.1875,0.10,518.8635,0,33913
6.2500,0.10,524.3404,0,34061
6.3125,0.10,529.5309,0,34061
6.1875,0.10,519.2840,0,34061
6.1250,0.10,513.5095,0,34061
6.1250,0.10,513.9873,0,34061
6.1250,0.10,513.7355,0,34061
6.2500,0.10,524.4348,0,34061
6.1250,0.10,513.8536,0,34219
6.1875,0.10,519.0555,0,34219
5.9375,0.10,498.0537,0,34219
6.1250,0.10,513.8022,0,34219
6.0625,0.10,508.5644,0,34219
6.1250,0.10,513.4736,0,34219
6.0625,0.10,508.7680,0,34219
6.0625,0.10,508.3509,0,34393
5.9375,0.10,498.1384,0,34393
6.0000,0.10,503.4272,0,34393
5.9375,0.10,497.8794,0,34393
6.0625,0.10,508.7832,0,34393
6.0000,0.10,503.4272,0,34393
6.0000,0.10,503.1454,0,34393
5.8750,0.10,492.9490,0,34577
5.8125,0.10,487.6561,0,34577
5.9375,0.10,498.0636,0,34577
5.9375,0.10,498.0587,0,34577
6.0000,0.10,503.3366,0,34577
5.8125,0.10,487.5293,0,34577
5.8125,0.10,487.6073,0,34577
5.8125,0.10,487.6269,0,34577
5.8125,0.10,487.5878,0,34769
5.8750,0.10,492.8307,0,34769
5.8750,0.10,492.8356,0,34769
5.7500,0.10,482.3353,0,34769
5.7500,0.10,482.3498,0,34769
5.7500,0.10,482.3450,0,34769
5.7500,0.10,482.3353,0,34769
5.7500,0.10,482.3498,0,34979
5.7500,0.10,482.0557,0,34979
5.7500,0.10,482.3546,0,34979
