nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.190
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2396 retrans=0 cwnd=87
megabytes=0.1875 real_sec=0.10 rate_Mbps=15.7324 retrans=0 cwnd=87
megabytes=0.4375 real_sec=0.10 rate_Mbps=36.7115 retrans=0 cwnd=183
megabytes=0.8750 real_sec=0.10 rate_Mbps=73.3592 retrans=0 cwnd=375
megabytes=1.7500 real_sec=0.10 rate_Mbps=146.8770 retrans=0 cwnd=978
megabytes=4.1875 real_sec=0.10 rate_Mbps=351.2730 retrans=0 cwnd=1817
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4629 retrans=0 cwnd=3372
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4469 retrans=0 cwnd=4587
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2278 retrans=0 cwnd=6239
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4549 retrans=0 cwnd=6265
megabytes=4.6875 real_sec=0.10 rate_Mbps=392.9409 retrans=0 cwnd=8511
megabytes=4.8125 real_sec=0.10 rate_Mbps=403.9805 retrans=0 cwnd=8563
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2199 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4429 retrans=0 cwnd=8580
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2278 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4509 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4549 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.3035 retrans=0 cwnd=8580
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2199 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4390 retrans=0 cwnd=8580
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2199 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6423 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.2120 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6901 retrans=0 cwnd=8580
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0941 retrans=0 cwnd=8580
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.5944 retrans=0 cwnd=8580
