megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2423,0,87
0.1875,0.10,15.7293,0,87
0.4375,0.10,36.6991,0,183
0.8750,0.10,73.3666,0,410
1.6875,0.10,141.5960,0,803
2.3750,0.10,199.2095,0,1511
2.3750,0.10,199.2474,0,2062
2.3125,0.10,194.0176,0,2831
2.3750,0.10,199.1936,0,2831
2.4375,0.10,204.5132,0,4334
2.3125,0.10,193.8974,0,4334
2.3750,0.10,199.2633,0,4334
2.3750,0.10,199.1279,0,4334
2.3750,0.10,199.3510,0,4334
2.3750,0.10,199.2235,0,4334
2.3125,0.10,194.0390,0,4334
2.3750,0.10,199.2175,0,4334
2.4375,0.10,204.4764,0,4334
2.3125,0.10,193.9807,0,4334
2.3750,0.10,199.2334,0,4334
2.3125,0.10,193.9866,0,4334
2.4375,0.10,204.4723,0,4334
2.3750,0.10,199.2294,0,4334
2.3125,0.10,193.9516,0,4334
2.3750,0.10,199.2673,0,4334
2.3750,0.10,199.2274,0,4334
2.3750,0.10,199.2314,0,4334
2.3750,0.10,199.2235,0,4334
2.3125,0.10,193.9594,0,4334
2.4375,0.10,204.4641,0,4334
2.3125,0.10,194.0040,0,4334
2.3750,0.10,199.2553,0,4334
2.3750,0.10,199.2294,0,4334
2.3750,0.10,199.0344,0,4334
2.3750,0.10,199.4229,0,4334
2.3750,0.10,199.2294,0,4334
2.3125,0.10,193.9885,0,4334
2.4375,0.10,204.4682,0,4334
2.3125,0.10,193.9866,0,4334
2.3750,0.10,199.2314,0,4334
2.3750,0.10,199.2255,0,4334
2.3750,0.10,199.2354,0,4334
2.3750,0.10,199.2255,0,4334
2.3125,0.10,193.9478,0,4334
2.3750,0.10,199.2135,0,4334
2.4375,0.10,204.4417,0,4334
2.3125,0.10,194.0254,0,4334
2.3750,0.10,199.1976,0,4334
2.3750,0.10,199.2175,0,4334
2.3750,0.10,199.2374,0,4334
2.3750,0.10,199.1976,0,4334
2.3125,0.10,194.0390,0,4334
2.3750,0.10,199.1836,0,4334
2.4375,0.10,204.4887,0,4334
2.3125,0.10,193.9924,0,4334
2.3750,0.10,199.2055,0,4334
2.3125,0.10,194.0875,0,4334
2.4375,0.10,204.3763,0,4334
2.3750,0.10,199.2035,0,4334
2.3125,0.10,194.0079,0,4334
2.3750,0.10,199.2474,0,4334
2.3750,0.10,199.2235,0,4334
2.3750,0.10,199.2414,0,4334
2.3750,0.10,199.2095,0,4334
2.3125,0.10,193.9769,0,4334
2.4375,0.10,204.4969,0,4334
2.3750,0.10,199.1836,0,4334
2.3125,0.10,194.0273,0,4334
2.3750,0.10,199.2235,0,4334
2.3750,0.10,199.2394,0,4334
2.3750,0.10,199.2095,0,4334
2.3750,0.10,199.2454,0,4334
2.3125,0.10,193.9652,0,4334
2.4375,0.10,204.4887,0,4334
2.3125,0.10,193.9807,0,4334
2.3750,0.10,199.2195,0,4334
2.3750,0.10,199.2334,0,4334
2.3750,0.10,199.2514,0,4334
2.3750,0.10,199.1717,0,4334
2.3125,0.10,194.0409,0,4334
2.3750,0.10,199.2294,0,4334
2.4375,0.10,204.4785,0,4334
2.3125,0.10,193.9769,0,4334
2.3750,0.10,199.2354,0,4334
2.3750,0.10,199.1996,0,4334
2.3750,0.10,199.2613,0,4334
2.3750,0.10,199.2115,0,4334
2.3125,0.10,194.0098,0,4334
2.3750,0.10,199.2095,0,4334
2.3750,0.10,199.1996,0,4334
2.3750,0.10,199.2474,0,4334
2.3750,0.10,199.2374,0,4334
2.3125,0.10,193.9807,0,4334
2.3750,0.10,199.2534,0,4334
2.4375,0.10,204.4498,0,4334
2.3125,0.10,193.9866,0,4334
2.3750,0.10,199.2314,0,4334
2.3750,0.10,199.2454,0,4334
2.3750,0.10,199.2135,0,4334
2.3750,0.10,199.2414,0,4334
2.3125,0.10,193.9749,0,4334
2.3750,0.10,199.2294,0,4334
2.4375,0.10,204.3803,0,4334
2.3125,0.10,194.0933,0,4334
2.3750,0.10,199.2115,0,4334
2.3125,0.10,194.0021,0,4334
2.4375,0.10,204.4539,0,4334
2.3750,0.10,199.2374,0,4334
2.3125,0.10,193.9769,0,4334
2.3750,0.10,199.2314,0,4334
2.3750,0.10,199.2215,0,4334
2.3750,0.10,199.2334,0,4334
2.3750,0.10,199.2255,0,4334
2.3125,0.10,194.0118,0,4334
2.4375,0.10,204.4662,0,4334
2.3125,0.10,193.9613,0,4334
2.3750,0.10,199.2673,0,4334
2.3750,0.10,199.2215,0,4334
2.3750,0.10,199.2195,0,4334
2.3750,0.10,199.2374,0,4334
2.3750,0.10,199.2314,0,4334
2.3125,0.10,193.9749,0,4334
2.4375,0.10,204.4601,0,4334
2.3125,0.10,194.0157,0,4334
2.3750,0.10,199.2035,0,4334
2.3750,0.10,199.2454,0,4334
2.3750,0.10,199.2414,0,4334
2.3750,0.10,199.2235,0,4334
2.3125,0.10,193.9827,0,4334
2.3750,0.10,199.2314,0,4334
2.4375,0.10,204.4682,0,4334
2.3125,0.10,193.9148,0,4334
2.3750,0.10,199.3032,0,4334
2.3750,0.10,199.2195,0,4334
2.3750,0.10,199.3331,0,4334
2.3750,0.10,199.2294,0,4334
2.3125,0.10,193.9846,0,4334
2.3750,0.10,199.2314,0,4334
