nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.190
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2396 retrans=0 cwnd=87
megabytes=0.1875 real_sec=0.10 rate_Mbps=15.7275 retrans=0 cwnd=87
megabytes=0.3750 real_sec=0.10 rate_Mbps=31.4661 retrans=0 cwnd=209
megabytes=0.8750 real_sec=0.10 rate_Mbps=73.3842 retrans=0 cwnd=419
megabytes=1.6250 real_sec=0.10 rate_Mbps=136.3831 retrans=0 cwnd=830
megabytes=2.8750 real_sec=0.10 rate_Mbps=241.1580 retrans=0 cwnd=1581
megabytes=3.3750 real_sec=0.10 rate_Mbps=283.1382 retrans=0 cwnd=2158
megabytes=3.8750 real_sec=0.10 rate_Mbps=324.8766 retrans=0 cwnd=2971
megabytes=5.3125 real_sec=0.10 rate_Mbps=445.8990 retrans=0 cwnd=5470
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8381 retrans=0 cwnd=5487
megabytes=4.6250 real_sec=0.10 rate_Mbps=388.0080 retrans=0 cwnd=7471
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.9441 retrans=0 cwnd=10127
megabytes=5.8125 real_sec=0.10 rate_Mbps=487.6707 retrans=0 cwnd=10215
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1284 retrans=0 cwnd=13771
megabytes=5.1250 real_sec=0.10 rate_Mbps=429.9334 retrans=0 cwnd=13858
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0437 retrans=0 cwnd=13893
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=18752
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=18839
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=18900
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=18979
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=25498
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=25594
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=25690
megabytes=5.0000 real_sec=0.10 rate_Mbps=419.4304 retrans=0 cwnd=25751
megabytes=1.6250 real_sec=0.10 rate_Mbps=136.3135 retrans=0 cwnd=25751
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=25751
