megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2414,0,87
0.1875,0.10,15.7242,0,87
0.3750,0.10,31.4611,0,209
0.8750,0.10,73.3827,0,419
1.6875,0.10,141.5847,0,812
4.1250,0.10,346.1789,0,2158
5.9375,0.10,497.8098,0,2927
5.8750,0.10,492.7765,0,5417
5.9375,0.10,498.0537,0,7366
5.8750,0.10,493.1266,0,7462
5.9375,0.10,498.0885,0,10031
5.9375,0.10,497.8446,0,10127
5.8750,0.10,493.0477,0,10564
5.9375,0.10,498.0039,0,10564
5.8750,0.10,492.7568,0,10582
5.9375,0.10,498.2231,0,10599
5.9375,0.10,498.0686,0,10617
5.8750,0.10,492.8406,0,10617
5.9375,0.10,498.0686,0,10617
5.9375,0.10,497.9242,0,10617
5.8750,0.10,492.9835,0,10634
5.9375,0.10,498.0587,0,10634
5.8750,0.10,492.8455,0,10634
5.9375,0.10,498.0736,0,10634
5.9375,0.10,497.7948,0,10634
5.8750,0.10,493.0871,0,10634
5.9375,0.10,498.0836,0,10634
5.8750,0.10,492.8455,0,10634
5.9375,0.10,498.0985,0,10634
5.8750,0.10,492.8209,0,10634
5.9375,0.10,498.0786,0,10634
5.8750,0.10,492.8159,0,10634
5.9375,0.10,498.0836,0,10634
5.8750,0.10,492.8307,0,10634
5.9375,0.10,497.8346,0,10634
5.9375,0.10,497.8645,0,10634
5.8750,0.10,493.2549,0,10634
5.9375,0.10,498.0736,0,10634
5.8750,0.10,492.8258,0,10634
5.9375,0.10,498.0736,0,10634
5.9375,0.10,498.0786,0,10634
5.8750,0.10,492.8307,0,10634
5.8750,0.10,492.8209,0,10634
5.9375,0.10,498.0885,0,10634
5.9375,0.10,497.8048,0,10634
5.8750,0.10,493.1118,0,10634
5.8750,0.10,492.5204,0,10634
5.9375,0.10,498.3577,0,10634
5.9375,0.10,498.0836,0,10634
5.8750,0.10,492.8110,0,10634
5.9375,0.10,498.0836,0,10634
5.8750,0.10,492.7470,0,10634
5.9375,0.10,497.9392,0,10634
5.9375,0.10,498.1882,0,10634
5.8750,0.10,492.6484,0,10634
5.9375,0.10,497.9541,0,10634
5.8750,0.10,493.1562,0,10634
5.9375,0.10,497.8993,0,10634
5.8750,0.10,493.0625,0,10634
5.9375,0.10,497.9989,0,10634
5.8750,0.10,492.8455,0,10634
5.9375,0.10,498.0686,0,10634
5.8750,0.10,492.9047,0,10634
5.9375,0.10,497.9939,0,10634
5.9375,0.10,497.9591,0,10634
5.8750,0.10,492.7272,0,10634
5.9375,0.10,498.3876,0,10660
5.8750,0.10,492.8258,0,10660
5.9375,0.10,498.0736,0,10660
5.9375,0.10,498.0786,0,10660
5.8750,0.10,492.8307,0,10660
5.9375,0.10,497.8346,0,10660
5.9375,0.10,498.0338,0,10660
5.8750,0.10,493.1069,0,10660
5.9375,0.10,497.8297,0,10660
5.8750,0.10,492.8554,0,10660
5.9375,0.10,498.0736,0,10660
5.9375,0.10,498.0836,0,10660
