nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.0429 retrans=0 cwnd=1607
megabytes=8.3125 real_sec=0.10 rate_Mbps=697.4844 retrans=0 cwnd=1607
megabytes=8.2500 real_sec=0.10 rate_Mbps=691.8803 retrans=0 cwnd=1607
megabytes=8.2500 real_sec=0.10 rate_Mbps=692.4687 retrans=0 cwnd=1625
megabytes=8.3125 real_sec=0.10 rate_Mbps=696.8083 retrans=0 cwnd=1625
megabytes=8.1875 real_sec=0.10 rate_Mbps=687.2709 retrans=0 cwnd=1625
megabytes=8.3125 real_sec=0.10 rate_Mbps=697.3030 retrans=0 cwnd=1625
megabytes=8.2500 real_sec=0.10 rate_Mbps=691.6866 retrans=0 cwnd=1625
megabytes=8.0625 real_sec=0.10 rate_Mbps=676.3180 retrans=0 cwnd=2612
megabytes=6.3125 real_sec=0.10 rate_Mbps=529.8488 retrans=0 cwnd=3809
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7961 retrans=0 cwnd=6920
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1541 retrans=0 cwnd=10031
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2061 retrans=0 cwnd=13142
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7546 retrans=0 cwnd=16305
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=19451
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=22605
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1541 retrans=0 cwnd=25769
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.4086 retrans=0 cwnd=28984
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0918 retrans=0 cwnd=32121
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=35250
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=38413
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=41559
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=44687
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=47833
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2985 retrans=0 cwnd=51040
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=54186
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0088 retrans=0 cwnd=57305
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=60460
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=63614
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=66742
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=69880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=73052
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=76171
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=79308
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2828 retrans=0 cwnd=82524
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8331 retrans=0 cwnd=85635
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2565 retrans=0 cwnd=88833
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8022 retrans=0 cwnd=91970
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=94958
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=98078
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2121 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=100464
megabytes=2.1250 real_sec=0.10 rate_Mbps=178.2722 retrans=0 cwnd=101565
megabytes=8.9375 real_sec=0.10 rate_Mbps=749.8068 retrans=0 cwnd=106100
megabytes=8.2500 real_sec=0.10 rate_Mbps=692.0809 retrans=0 cwnd=110338
megabytes=11.9375 real_sec=0.10 rate_Mbps=1001.5203 retrans=0 cwnd=116358
megabytes=36.1250 real_sec=0.10 rate_Mbps=3031.3244 retrans=0 cwnd=131082
megabytes=12.4375 real_sec=0.10 rate_Mbps=1043.4479 retrans=523 cwnd=60940
megabytes=8.0000 real_sec=0.10 rate_Mbps=671.1155 retrans=462 cwnd=56894
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2199 retrans=352 cwnd=53609
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0866 retrans=291 cwnd=49860
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2775 retrans=202 cwnd=45307
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=169 cwnd=40466
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=134 cwnd=35346
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=167 cwnd=45447
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=45447
