nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.190
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2401 retrans=0 cwnd=87
megabytes=0.1875 real_sec=0.10 rate_Mbps=15.7279 retrans=0 cwnd=87
megabytes=0.4375 real_sec=0.10 rate_Mbps=36.7053 retrans=0 cwnd=183
megabytes=0.8750 real_sec=0.10 rate_Mbps=73.3930 retrans=0 cwnd=375
megabytes=1.6875 real_sec=0.10 rate_Mbps=141.6158 retrans=0 cwnd=978
megabytes=4.4375 real_sec=0.10 rate_Mbps=372.2519 retrans=0 cwnd=1817
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=3372
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=4657
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0036 retrans=0 cwnd=6335
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8272 retrans=0 cwnd=8572
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.5713 retrans=0 cwnd=8685
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7080 retrans=0 cwnd=11700
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=11770
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3929 retrans=0 cwnd=15484
megabytes=6.1250 real_sec=0.10 rate_Mbps=514.0490 retrans=0 cwnd=16663
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2932 retrans=0 cwnd=18271
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=19862
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=21452
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=23042
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=24607
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3247 retrans=0 cwnd=26197
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.7560 retrans=0 cwnd=27770
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2985 retrans=0 cwnd=29386
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=30977
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=32541
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9673 retrans=0 cwnd=34157
