nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=9.8750 real_sec=0.10 rate_Mbps=827.8121 retrans=0 cwnd=2018
megabytes=11.7500 real_sec=0.10 rate_Mbps=985.6713 retrans=0 cwnd=2018
megabytes=11.8125 real_sec=0.10 rate_Mbps=991.4496 retrans=0 cwnd=2018
megabytes=11.8125 real_sec=0.10 rate_Mbps=990.3299 retrans=0 cwnd=2079
megabytes=11.7500 real_sec=0.10 rate_Mbps=986.2236 retrans=0 cwnd=2079
megabytes=11.8125 real_sec=0.10 rate_Mbps=990.9142 retrans=0 cwnd=2079
megabytes=11.4375 real_sec=0.10 rate_Mbps=959.4470 retrans=0 cwnd=2228
megabytes=10.7500 real_sec=0.10 rate_Mbps=901.8295 retrans=0 cwnd=3451
megabytes=9.7500 real_sec=0.10 rate_Mbps=817.8402 retrans=0 cwnd=5671
megabytes=9.0625 real_sec=0.10 rate_Mbps=760.2632 retrans=0 cwnd=10057
megabytes=8.5625 real_sec=0.10 rate_Mbps=718.2243 retrans=0 cwnd=13745
megabytes=7.1250 real_sec=0.10 rate_Mbps=597.6883 retrans=0 cwnd=18429
megabytes=7.0000 real_sec=0.10 rate_Mbps=587.2026 retrans=0 cwnd=21749
megabytes=7.8125 real_sec=0.10 rate_Mbps=655.3534 retrans=0 cwnd=26459
megabytes=6.5625 real_sec=0.10 rate_Mbps=550.5134 retrans=0 cwnd=30461
megabytes=6.5000 real_sec=0.10 rate_Mbps=544.7475 retrans=0 cwnd=34446
megabytes=6.5000 real_sec=0.10 rate_Mbps=545.6688 retrans=0 cwnd=38430
megabytes=7.2500 real_sec=0.10 rate_Mbps=608.2897 retrans=0 cwnd=43429
megabytes=6.4375 real_sec=0.10 rate_Mbps=540.0166 retrans=0 cwnd=47011
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=50472
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=53958
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=57445
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2828 retrans=0 cwnd=60905
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2775 retrans=0 cwnd=64357
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=67739
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=72125
megabytes=7.3750 real_sec=0.10 rate_Mbps=618.6722 retrans=0 cwnd=76224
megabytes=2.0625 real_sec=0.10 rate_Mbps=172.9459 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=77316
megabytes=12.5000 real_sec=0.10 rate_Mbps=1048.6284 retrans=0 cwnd=83983
megabytes=43.3750 real_sec=0.10 rate_Mbps=3635.7229 retrans=0 cwnd=107113
megabytes=12.3125 real_sec=0.10 rate_Mbps=1033.5088 retrans=0 cwnd=113693
megabytes=9.5625 real_sec=0.10 rate_Mbps=802.2890 retrans=0 cwnd=118770
megabytes=7.2500 real_sec=0.10 rate_Mbps=607.9856 retrans=0 cwnd=122641
megabytes=6.8750 real_sec=0.10 rate_Mbps=576.7572 retrans=0 cwnd=127019
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1489 retrans=0 cwnd=130803
megabytes=6.2500 real_sec=0.10 rate_Mbps=523.9527 retrans=94 cwnd=62050
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1282 retrans=343 cwnd=58747
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3247 retrans=171 cwnd=53923
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1697 retrans=281 cwnd=50122
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1438 retrans=384 cwnd=54413
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8022 retrans=0 cwnd=54413
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9621 retrans=0 cwnd=54413
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1489 retrans=0 cwnd=54413
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2932 retrans=0 cwnd=54413
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.7920 retrans=0 cwnd=54413
megabytes=6.8125 real_sec=0.10 rate_Mbps=571.4796 retrans=0 cwnd=54413
megabytes=1.3750 real_sec=0.10 rate_Mbps=115.3434 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=54413
megabytes=18.6875 real_sec=0.10 rate_Mbps=1568.0131 retrans=0 cwnd=65537
