nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=8.9375 real_sec=0.10 rate_Mbps=749.6344 retrans=0 cwnd=1869
megabytes=10.6250 real_sec=0.10 rate_Mbps=890.7195 retrans=0 cwnd=1869
megabytes=10.6250 real_sec=0.10 rate_Mbps=891.8693 retrans=0 cwnd=1869
megabytes=10.5625 real_sec=0.10 rate_Mbps=885.8430 retrans=0 cwnd=1887
megabytes=10.6250 real_sec=0.10 rate_Mbps=891.2450 retrans=0 cwnd=1922
megabytes=10.6250 real_sec=0.10 rate_Mbps=891.5392 retrans=0 cwnd=1922
megabytes=10.6250 real_sec=0.10 rate_Mbps=891.2629 retrans=0 cwnd=1922
megabytes=10.3750 real_sec=0.10 rate_Mbps=869.8397 retrans=0 cwnd=2350
megabytes=9.0625 real_sec=0.10 rate_Mbps=760.5751 retrans=0 cwnd=3906
megabytes=7.5625 real_sec=0.10 rate_Mbps=634.4519 retrans=0 cwnd=6440
megabytes=7.3750 real_sec=0.10 rate_Mbps=618.6475 retrans=0 cwnd=11001
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=14444
megabytes=6.7500 real_sec=0.10 rate_Mbps=566.2367 retrans=0 cwnd=18481
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=22151
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9465 retrans=0 cwnd=25812
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1541 retrans=0 cwnd=29972
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=33651
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0866 retrans=0 cwnd=37321
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0036 retrans=0 cwnd=40973
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=44617
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=48270
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0918 retrans=0 cwnd=51940
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2670 retrans=0 cwnd=55636
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=59289
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=62933
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=66585
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9154 retrans=0 cwnd=70238
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8687 retrans=0 cwnd=73890
megabytes=2.5625 real_sec=0.10 rate_Mbps=214.9538 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=75420
megabytes=7.3125 real_sec=0.10 rate_Mbps=613.6808 retrans=0 cwnd=79754
megabytes=22.0625 real_sec=0.10 rate_Mbps=1850.7366 retrans=0 cwnd=92791
megabytes=37.9375 real_sec=0.10 rate_Mbps=3182.2690 retrans=0 cwnd=115231
megabytes=8.8750 real_sec=0.10 rate_Mbps=744.2136 retrans=0 cwnd=120474
megabytes=7.7500 real_sec=0.10 rate_Mbps=650.3187 retrans=0 cwnd=125062
megabytes=6.5625 real_sec=0.10 rate_Mbps=550.5740 retrans=7 cwnd=65213
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=224 cwnd=60766
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0088 retrans=236 cwnd=56536
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0970 retrans=302 cwnd=52892
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=87 cwnd=47352
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3037 retrans=195 cwnd=42730
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=84 cwnd=64313
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2880 retrans=0 cwnd=64313
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9725 retrans=0 cwnd=64313
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8845 retrans=0 cwnd=64313
megabytes=6.2500 real_sec=0.10 rate_Mbps=523.9527 retrans=0 cwnd=64313
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8279 retrans=0 cwnd=64313
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3359 retrans=0 cwnd=64313
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=64313
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=64313
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2428 retrans=0 cwnd=64313
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=64313
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=64313
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=64313
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=64313
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=64313
