nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9569 retrans=0 cwnd=1468
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.4988 retrans=0 cwnd=1468
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.4454 retrans=0 cwnd=1485
megabytes=7.1250 real_sec=0.10 rate_Mbps=597.6345 retrans=0 cwnd=1485
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.3329 retrans=0 cwnd=1485
megabytes=7.1250 real_sec=0.10 rate_Mbps=597.8497 retrans=0 cwnd=1485
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.3744 retrans=0 cwnd=1485
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.5284 retrans=0 cwnd=1485
megabytes=7.0625 real_sec=0.10 rate_Mbps=592.4395 retrans=0 cwnd=1869
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=2717
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=4220
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.6820 retrans=0 cwnd=5784
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.4087 retrans=0 cwnd=7375
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2041 retrans=0 cwnd=8948
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1386 retrans=0 cwnd=10555
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=12128
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.7560 retrans=0 cwnd=13754
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.1150 retrans=0 cwnd=15396
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2217 retrans=0 cwnd=16952
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0088 retrans=0 cwnd=18533
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=20106
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=21670
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3037 retrans=0 cwnd=23270
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=24842
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.7971 retrans=0 cwnd=26442
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3142 retrans=0 cwnd=28041
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=29622
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9725 retrans=0 cwnd=31195
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1178 retrans=0 cwnd=32786
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=34385
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0036 retrans=0 cwnd=35931
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0866 retrans=0 cwnd=37495
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=39077
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9725 retrans=0 cwnd=40676
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3562 retrans=0 cwnd=42328
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=43909
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=45500
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=47081
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=48654
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9725 retrans=0 cwnd=50210
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1022 retrans=0 cwnd=51809
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7287 retrans=0 cwnd=53373
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.6185 retrans=0 cwnd=54963
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=56554
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8843 retrans=0 cwnd=58135
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1853 retrans=0 cwnd=59726
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=61316
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8013 retrans=0 cwnd=62898
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=64488
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0918 retrans=0 cwnd=66087
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2424 retrans=0 cwnd=67677
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=69242
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2932 retrans=0 cwnd=70849
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=72449
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=74030
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=75621
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=77202
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=78793
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=80374
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3142 retrans=0 cwnd=81947
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0140 retrans=0 cwnd=83546
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=85110
