nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=2.1875 real_sec=0.10 rate_Mbps=183.4806 retrans=0 cwnd=664
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1757 retrans=0 cwnd=664
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2832 retrans=0 cwnd=664
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=707
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1976 retrans=0 cwnd=707
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.7928 retrans=0 cwnd=707
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.3949 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.5357 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9846 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1936 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2713 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1120 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2035 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=194.0681 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2932 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1856 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2653 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9943 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1836 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.5112 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9827 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9827 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.4764 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9827 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2334 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9885 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.4703 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9866 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2274 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1657 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9866 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2912 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.4703 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9264 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1777 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=194.0370 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.5337 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9866 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2434 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2195 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9943 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.4621 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9866 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2274 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2314 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9885 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2294 retrans=0 cwnd=751
megabytes=2.4375 real_sec=0.10 rate_Mbps=204.4703 retrans=0 cwnd=751
megabytes=2.3125 real_sec=0.10 rate_Mbps=193.9516 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.1796 retrans=0 cwnd=751
megabytes=2.3750 real_sec=0.10 rate_Mbps=199.2035 retrans=0 cwnd=751
