nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=4.1875 real_sec=0.10 rate_Mbps=351.2273 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.1603 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.5665 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6462 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0509 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6343 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.1374 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.5386 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4629 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2396 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4270 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4549 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2239 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4429 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0548 retrans=0 cwnd=1127
megabytes=4.8125 real_sec=0.10 rate_Mbps=403.6896 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.3891 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.0608 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.6214 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4549 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2239 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.2677 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6462 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4589 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0941 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.5785 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2199 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4350 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4469 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4987 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2317 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4429 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0038 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6742 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4469 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2396 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4270 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.2637 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.4245 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.1085 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.8218 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4589 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2160 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4748 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.1963 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4629 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4788 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4390 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2160 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4549 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2160 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4589 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4509 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4708 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.0470 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.3951 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.3576 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.4589 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2947 retrans=0 cwnd=1127
megabytes=4.8125 real_sec=0.10 rate_Mbps=403.4355 retrans=0 cwnd=1127
megabytes=4.6875 real_sec=0.10 rate_Mbps=393.2199 retrans=0 cwnd=1127
megabytes=4.7500 real_sec=0.10 rate_Mbps=398.6502 retrans=0 cwnd=1127
