nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=8.0000 real_sec=0.10 rate_Mbps=670.8740 retrans=0 cwnd=1765
megabytes=9.5000 real_sec=0.10 rate_Mbps=796.7106 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=792.0313 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=791.6828 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=791.5007 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=791.8412 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=791.6828 retrans=0 cwnd=1765
megabytes=9.4375 real_sec=0.10 rate_Mbps=791.6670 retrans=0 cwnd=1817
megabytes=8.6875 real_sec=0.10 rate_Mbps=728.7822 retrans=0 cwnd=3303
megabytes=6.5000 real_sec=0.10 rate_Mbps=545.2432 retrans=0 cwnd=4875
megabytes=6.7500 real_sec=0.10 rate_Mbps=566.1801 retrans=0 cwnd=9358
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3404 retrans=0 cwnd=12504
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=16628
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=20735
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.5629 retrans=0 cwnd=24851
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.5335 retrans=0 cwnd=28976
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=33083
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=37198
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0140 retrans=0 cwnd=41332
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9932 retrans=0 cwnd=45447
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9569 retrans=0 cwnd=49537
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.4191 retrans=0 cwnd=53705
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=57803
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=61910
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=66035
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=70150
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=74249
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=78391
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=82506
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=86605
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=90729
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=94845
megabytes=1.1875 real_sec=0.10 rate_Mbps=99.6137 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=95649
megabytes=8.0625 real_sec=0.10 rate_Mbps=676.2233 retrans=0 cwnd=100988
megabytes=24.5625 real_sec=0.10 rate_Mbps=2060.5343 retrans=0 cwnd=117346
megabytes=37.3750 real_sec=0.10 rate_Mbps=3134.1766 retrans=0 cwnd=131082
megabytes=9.3750 real_sec=0.10 rate_Mbps=786.3691 retrans=0 cwnd=131082
megabytes=6.6250 real_sec=0.10 rate_Mbps=555.7453 retrans=269 cwnd=61954
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3204 retrans=364 cwnd=58843
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=411 cwnd=56204
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=123 cwnd=50970
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=90 cwnd=45474
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=151 cwnd=40528
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2828 retrans=126 cwnd=35687
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=65537
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8022 retrans=0 cwnd=65537
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.6173 retrans=0 cwnd=65537
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2113 retrans=0 cwnd=65537
megabytes=6.2500 real_sec=0.10 rate_Mbps=523.8480 retrans=0 cwnd=65537
megabytes=6.1250 real_sec=0.10 rate_Mbps=514.2342 retrans=0 cwnd=65537
megabytes=6.2500 real_sec=0.10 rate_Mbps=523.9841 retrans=0 cwnd=65537
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3204 retrans=0 cwnd=65537
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0970 retrans=0 cwnd=65537
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=65537
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=65537
