nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.190
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2392 retrans=0 cwnd=87
megabytes=0.1875 real_sec=0.10 rate_Mbps=15.7327 retrans=0 cwnd=87
megabytes=0.4375 real_sec=0.10 rate_Mbps=36.6972 retrans=0 cwnd=183
megabytes=0.8750 real_sec=0.10 rate_Mbps=73.3886 retrans=0 cwnd=393
megabytes=1.7500 real_sec=0.10 rate_Mbps=146.8006 retrans=0 cwnd=760
megabytes=4.4375 real_sec=0.10 rate_Mbps=372.4642 retrans=0 cwnd=1983
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.8022 retrans=0 cwnd=3678
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.5577 retrans=0 cwnd=5015
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.5023 retrans=0 cwnd=6798
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.6095 retrans=0 cwnd=9218
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.5231 retrans=0 cwnd=9297
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8895 retrans=0 cwnd=12548
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.4244 retrans=0 cwnd=12644
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=12731
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=17109
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=0 cwnd=17590
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=22273
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2828 retrans=0 cwnd=27036
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=31195
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9621 retrans=0 cwnd=34350
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1022 retrans=0 cwnd=37469
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=40606
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9673 retrans=0 cwnd=43743
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0970 retrans=0 cwnd=46872
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2932 retrans=0 cwnd=50035
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=53233
