megabytes,real_sec,rate_Mbps,retrans,cwnd
7.0625,0.10,592.0429,0,1607
8.3125,0.10,697.4844,0,1607
8.2500,0.10,691.8803,0,1607
8.2500,0.10,692.4687,0,1625
8.3125,0.10,696.8083,0,1625
8.1875,0.10,687.2709,0,1625
8.3125,0.10,697.3030,0,1625
8.2500,0.10,691.6866,0,1625
8.0625,0.10,676.3180,0,2612
6.3125,0.10,529.8488,0,3809
6.1875,0.10,518.7961,0,6920
6.1875,0.10,519.1541,0,10031
6.1875,0.10,519.2061,0,13142
6.1875,0.10,518.7546,0,16305
6.1875,0.10,519.0244,0,19451
6.1875,0.10,519.0503,0,22605
6.1875,0.10,519.1541,0,25769
6.2500,0.10,524.4086,0,28984
6.1875,0.10,519.0918,0,32121
6.1875,0.10,519.0503,0,35250
6.1875,0.10,519.0451,0,38413
6.1875,0.10,519.0451,0,41559
6.1875,0.10,519.0295,0,44687
6.1875,0.10,519.0659,0,47833
6.2500,0.10,524.2985,0,51040
6.1875,0.10,519.0192,0,54186
6.1875,0.10,519.0088,0,57305
6.1875,0.10,519.0763,0,60460
6.1875,0.10,519.0711,0,63614
6.1875,0.10,519.0295,0,66742
6.1875,0.10,519.0399,0,69880
6.1875,0.10,519.0503,0,73052
6.1875,0.10,519.0399,0,76171
6.1875,0.10,519.0555,0,79308
6.2500,0.10,524.2828,0,82524
6.1250,0.10,513.8331,0,85635
6.2500,0.10,524.2565,0,88833
6.1250,0.10,513.8022,0,91970
6.1875,0.10,519.0503,0,94958
6.1875,0.10,519.0399,0,98078
4.6875,0.10,393.2121,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
0.0000,0.10,0.0000,0,100464
2.1250,0.10,178.2722,0,101565
8.9375,0.10,749.8068,0,106100
8.2500,0.10,692.0809,0,110338
11.9375,0.10,1001.5203,0,116358
36.1250,0.10,3031.3244,0,131082
12.4375,0.10,1043.4479,523,60940
8.0000,0.10,671.1155,462,56894
6.2500,0.10,524.2199,352,53609
6.1875,0.10,519.0866,291,49860
6.2500,0.10,524.2775,202,45307
6.1875,0.10,519.0607,169,40466
6.1875,0.10,519.0451,134,35346
6.1875,0.10,519.0399,167,45447
6.1875,0.10,519.0295,0,45447
6.1875,0.10,518.9984,0,45447
6.1875,0.10,519.1022,0,45447
6.1875,0.10,519.0140,0,45447
6.1875,0.10,519.0815,0,45447
6.1875,0.10,519.0451,0,45447
6.2500,0.10,524.3247,0,45447
6.1250,0.10,513.7714,0,65537
6.2500,0.10,524.2828,0,65537
6.1875,0.10,519.0399,0,65537
6.1875,0.10,519.0555,0,65537
6.2500,0.10,524.1150,0,65537
6.1250,0.10,513.9616,0,65537
6.2500,0.10,524.1989,0,65537
6.1875,0.10,519.1334,0,65537
6.1875,0.10,519.0503,0,65537
6.1875,0.10,519.0451,0,65537
6.1875,0.10,519.0451,0,65537
