megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2424,0,87
0.1875,0.10,15.7230,0,87
0.4375,0.10,36.7005,0,183
0.8750,0.10,73.3790,0,375
1.6875,0.10,141.6427,0,978
3.3750,0.10,283.1127,0,1843
5.2500,0.10,440.4019,0,3460
5.0000,0.10,419.4388,0,4718
6.1875,0.10,519.0451,0,6431
5.6875,0.10,477.0830,0,6466
6.1875,0.10,519.0607,0,8755
6.2500,0.10,524.2461,0,11875
6.1875,0.10,519.1230,0,11936
6.1875,0.10,519.0295,0,12041
6.1875,0.10,519.0088,0,16410
6.1875,0.10,519.0659,0,16515
6.2500,0.10,524.2775,0,16585
6.1875,0.10,519.0503,0,22265
6.1875,0.10,519.0763,0,22361
6.1875,0.10,519.0140,0,22448
6.2500,0.10,524.2932,0,22518
6.1250,0.10,513.8022,0,30286
6.1875,0.10,519.0347,0,30348
6.2500,0.10,524.2932,0,30426
6.1875,0.10,519.0503,0,32882
1.9375,0.10,162.5293,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.0000,0.10,0.0000,0,34018
0.3750,0.10,31.4507,0,34262
15.2500,0.10,1279.4802,0,43263
48.3750,0.10,4057.8674,0,84053
3.9375,0.10,330.3312,0,84105
4.6875,0.10,393.2081,0,84175
5.9375,0.10,497.9640,0,84228
6.1875,0.10,519.1541,0,84315
6.1875,0.10,519.0503,1647,51136
6.1250,0.10,513.8125,0,51136
6.2500,0.10,524.2670,0,51136
6.1875,0.10,518.7857,0,51136
6.1250,0.10,514.0644,0,51136
6.1875,0.10,519.0711,0,51136
6.2500,0.10,523.9736,0,51136
6.1875,0.10,519.2009,0,63396
6.2500,0.10,524.3037,0,63396
6.1875,0.10,519.1489,0,63396
6.1875,0.10,518.8065,0,63396
6.2500,0.10,524.3509,0,63396
5.9375,0.10,498.2330,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
0.0000,0.10,0.0000,0,63396
6.0625,0.10,508.4983,0,63396
12.4375,0.10,1043.9073,0,63396
46.1875,0.10,3874.2171,0,63396
4.4375,0.10,372.2073,0,63404
5.2500,0.10,440.4592,0,63404
5.4375,0.10,456.1214,0,63404
6.1875,0.10,518.9984,0,63404
6.1875,0.10,518.9413,0,63404
6.1875,0.10,518.8791,0,63404
6.2500,0.10,524.3404,0,63404
6.2500,0.10,524.3142,1198,31702
4.8750,0.10,409.1369,0,31702
4.8125,0.10,403.7058,0,31702
6.1875,0.10,519.0503,0,31702
6.2500,0.10,524.1779,0,31702
6.1250,0.10,513.8999,0,31702
5.1875,0.10,435.0807,0,31702
4.8750,0.10,408.9201,0,31702
5.9375,0.10,498.1932,0,31702
6.2500,0.10,523.8794,0,31702
6.0625,0.10,508.7222,0,31702
5.3750,0.10,450.8922,0,31702
4.8750,0.10,408.8956,0,31702
5.8125,0.10,487.5781,0,31702
6.2500,0.10,524.3719,0,31711
6.0625,0.10,508.5950,0,31711
5.5000,0.10,461.4934,0,31711
5.0000,0.10,419.4849,0,31711
5.6250,0.10,471.8545,0,31711
6.1875,0.10,519.0607,0,31711
6.0625,0.10,508.5695,0,31711
5.5625,0.10,466.5743,0,31711
5.1250,0.10,429.8775,0,31728
5.5625,0.10,466.6817,0,31728
6.1250,0.10,513.7971,0,31728
6.1250,0.10,513.7817,0,31728
5.6250,0.10,471.9017,0,31728
5.2500,0.10,440.4019,0,31728
5.4375,0.10,456.1169,0,31728
6.1250,0.10,513.8125,0,31824
6.0625,0.10,508.5390,0,31824
5.6875,0.10,476.8493,0,31824
5.3750,0.10,450.8967,0,31824
5.4375,0.10,456.1397,0,31824
6.0000,0.10,503.0901,0,31824
6.0625,0.10,508.7171,0,31824
5.8750,0.10,492.8554,0,31824
5.4375,0.10,456.1853,0,32008
5.4375,0.10,456.3313,0,32008
5.8750,0.10,492.8356,0,32008
6.1250,0.10,513.8279,0,32008
5.8750,0.10,492.8061,0,32008
5.5625,0.10,466.6303,0,32008
5.4375,0.10,456.1169,0,32008
5.8750,0.10,492.8258,0,32270
6.0625,0.10,508.4983,0,32270
5.9375,0.10,498.1583,0,32270
5.6875,0.10,477.0878,0,32270
5.5000,0.10,461.3319,0,32270
5.7500,0.10,482.1617,0,32270
6.1250,0.10,514.0541,0,32279
6.0000,0.10,502.9946,0,32279
5.7500,0.10,482.2726,0,32620
5.5625,0.10,466.7003,0,32620
5.7500,0.10,482.5718,0,32620
6.0625,0.10,508.6255,0,32620
6.0625,0.10,508.3357,0,32620
5.8125,0.10,487.5050,0,32620
5.6875,0.10,477.1403,0,32628
5.6875,0.10,477.2023,0,33048
6.0000,0.10,503.3920,0,33048
6.1250,0.10,513.8845,0,33048
6.0000,0.10,503.3165,0,33048
5.6875,0.10,477.0830,0,33048
5.7500,0.10,482.3643,0,33056
5.9375,0.10,498.0138,0,33056
6.1250,0.10,513.8947,0,33555
6.0000,0.10,503.2863,0,33555
5.8750,0.10,492.8209,0,33555
5.7500,0.10,482.3112,0,33563
5.9375,0.10,498.1234,0,33563
6.1250,0.10,513.7509,0,33563
6.1250,0.10,513.8536,0,33563
5.9375,0.10,498.0686,0,34140
5.8125,0.10,487.5245,0,34140
5.9375,0.10,498.1633,0,34140
6.0625,0.10,508.5492,0,34149
6.1875,0.10,519.0244,0,34149
6.0625,0.10,508.5950,0,34149
5.9375,0.10,498.0437,0,34149
5.8750,0.10,492.7174,0,34804
6.0625,0.10,508.6865,0,34804
6.1875,0.10,519.0192,0,34804
6.2500,0.10,524.2303,0,34804
6.0000,0.10,503.1706,0,34804
6.0000,0.10,503.5179,0,34804
5.9375,0.10,497.9342,0,34804
6.2500,0.10,524.2146,0,35529
6.1875,0.10,519.1334,0,35529
6.1875,0.10,518.8946,0,35529
6.0625,0.10,508.5848,0,35529
6.0625,0.10,508.5746,0,35529
6.1250,0.10,513.8022,0,35538
6.2500,0.10,524.2723,0,35538
6.3125,0.10,529.7958,0,36325
6.1250,0.10,513.6790,0,36325
6.1250,0.10,513.9204,0,36325
6.1250,0.10,513.8331,0,36325
6.2500,0.10,524.2828,0,36333
6.3125,0.10,529.5468,0,36333
6.3125,0.10,529.5256,0,36333
6.1875,0.10,519.0503,0,37181
6.1875,0.10,519.0192,0,37181
6.1875,0.10,518.9673,0,37190
6.4375,0.10,539.8277,0,37190
6.3125,0.10,529.5256,0,37190
6.3125,0.10,529.5521,0,37190
6.2500,0.10,524.3142,0,37190
6.2500,0.10,524.3195,0,38107
6.3750,0.10,534.9182,0,38107
6.3750,0.10,534.8058,0,38107
6.4375,0.10,540.0382,0,38107
6.3750,0.10,534.6829,0,38116
6.2500,0.10,524.3771,0,38116
6.3125,0.10,529.5256,0,38116
6.4375,0.10,540.0112,0,39077
6.5625,0.10,550.5134,0,39086
6.4375,0.10,540.0166,0,39086
6.3750,0.10,534.6882,0,39086
6.4375,0.10,540.1193,0,39086
6.3750,0.10,534.7738,0,39095
6.4375,0.10,539.8223,0,40108
6.6250,0.10,555.4898,0,40108
6.5000,0.10,545.4559,0,40117
6.5000,0.10,545.4723,0,40117
6.4375,0.10,540.0328,0,40117
6.4375,0.10,540.0166,0,40117
6.6250,0.10,555.6008,0,40126
6.6250,0.10,555.9009,0,41192
6.5625,0.10,550.5189,0,41192
6.5625,0.10,550.1833,0,41192
6.5000,0.10,545.5377,0,41192
6.5625,0.10,550.2383,0,41200
6.6250,0.10,555.7842,0,41200
6.6875,0.10,560.9377,0,42302
6.6875,0.10,561.2576,0,42310
6.5625,0.10,550.2328,0,42310
6.5625,0.10,550.7888,0,42310
6.6875,0.10,560.9826,0,42319
6.6875,0.10,561.0218,0,42319
6.7500,0.10,565.9311,0,42319
6.7500,0.10,566.5256,0,43472
6.6250,0.10,555.4731,0,43472
6.6875,0.10,560.9713,0,43481
6.6875,0.10,560.9433,0,43481
6.8750,0.10,576.7572,0,43481
6.6875,0.10,561.0274,0,43490
6.8750,0.10,576.8899,0,44670
6.7500,0.10,566.3330,0,44678
6.6875,0.10,560.9601,0,44678
6.8125,0.10,571.2854,0,44678
6.8750,0.10,576.9014,0,44687
6.7500,0.10,566.1122,0,44687
6.9375,0.10,581.9073,0,45919
6.8750,0.10,576.8726,0,45919
6.8125,0.10,571.4739,0,45928
6.8125,0.10,571.1598,0,45928
6.9375,0.10,581.9946,0,45928
6.8750,0.10,576.8610,0,45937
6.9375,0.10,581.8317,0,45937
6.9375,0.10,581.8957,0,47204
6.9375,0.10,582.0936,0,47204
6.8750,0.10,576.6995,0,47204
6.9375,0.10,581.8899,0,47212
7.0625,0.10,592.5343,0,47212
6.9375,0.10,582.1110,0,47212
7.0000,0.10,587.2730,0,48506
7.0000,0.10,587.1556,0,48514
7.0625,0.10,592.4988,0,48514
6.9375,0.10,581.9597,0,48523
7.0000,0.10,587.1849,0,48523
7.1250,0.10,597.7242,0,48523
7.0625,0.10,592.4217,0,49851
7.1250,0.10,597.6345,0,49851
7.0625,0.10,592.4810,0,49860
7.0625,0.10,592.4691,0,49860
7.0625,0.10,592.4277,0,49869
7.1250,0.10,597.7003,0,49869
7.1250,0.10,597.6823,0,51232
7.1875,0.10,602.8106,0,51232
7.1875,0.10,603.0699,0,51241
7.1250,0.10,597.6764,0,51241
7.1875,0.10,602.8709,0,51241
7.1250,0.10,597.7541,0,51250
7.2500,0.10,608.1619,0,52621
7.1875,0.10,602.9011,0,52630
7.2500,0.10,608.2167,0,52630
7.2500,0.10,608.0099,0,52639
7.2500,0.10,608.2714,0,52639
7.1875,0.10,602.8468,0,52639
7.2500,0.10,608.0950,0,54055
7.2500,0.10,608.3201,0,54055
7.3750,0.10,618.7465,0,54063
7.3125,0.10,613.4047,0,54063
7.3125,0.10,613.4292,0,54063
7.3750,0.10,618.3877,0,54072
7.2500,0.10,608.4540,0,55488
7.3750,0.10,618.6660,0,55488
7.3125,0.10,613.4170,0,55496
7.3750,0.10,618.6537,0,55496
7.4375,0.10,623.9277,0,55496
7.3750,0.10,618.6165,0,56956
7.3750,0.10,618.5856,0,56964
7.3750,0.10,618.7031,0,56964
7.4375,0.10,623.9339,0,56973
7.3750,0.10,618.5794,0,56973
7.5000,0.10,629.2589,0,56973
7.4375,0.10,623.8653,0,58432
7.5000,0.10,628.9632,0,58441
7.5000,0.10,629.3344,0,58441
7.5000,0.10,628.9569,0,58450
7.4375,0.10,624.0899,0,58450
7.4375,0.10,623.8965,0,58459
7.5625,0.10,634.3948,0,59953
7.5625,0.10,634.3187,0,59953
7.5625,0.10,634.4773,0,59962
7.5625,0.10,634.3568,0,59962
7.5625,0.10,634.3441,0,59970
7.5625,0.10,634.4456,0,59970
7.5625,0.10,634.3821,0,61482
7.5625,0.10,634.3885,0,61482
7.5625,0.10,634.4012,0,61482
7.6875,0.10,644.4940,0,61491
7.6250,0.10,639.9513,0,61500
7.6250,0.10,639.6761,0,63011
7.6875,0.10,644.9000,0,63011
7.6250,0.10,639.6058,0,63020
7.6250,0.10,639.3245,0,63020
7.6875,0.10,645.1710,0,63029
7.6875,0.10,644.9194,0,63029
7.6875,0.10,644.8742,0,64575
7.6250,0.10,639.6314,0,64575
7.6250,0.10,639.5994,0,64584
7.6250,0.10,639.6378,0,64584
7.5625,0.10,634.3821,0,64593
7.6875,0.10,644.8742,0,66157
7.6250,0.10,639.6250,0,66157
7.6250,0.10,639.3820,0,66166
7.6875,0.10,644.8162,0,66175
7.6250,0.10,639.6314,0,66175
7.6250,0.10,639.5290,0,66183
7.5625,0.10,634.5090,0,67739
7.6250,0.10,639.6058,0,67739
7.5625,0.10,634.3504,0,67747
7.6250,0.10,639.6314,0,67747
7.6250,0.10,639.9577,0,67756
7.6875,0.10,644.9065,0,67756
7.5625,0.10,634.4202,0,67896
7.5625,0.10,634.3568,0,67896
7.5625,0.10,634.3885,0,67896
7.5625,0.10,634.2616,0,67896
7.6250,0.10,639.7593,0,67896
7.5625,0.10,634.0271,0,67896
7.6250,0.10,639.6953,0,67896
7.6250,0.10,639.6761,0,67896
7.5000,0.10,629.2840,0,67896
7.5625,0.10,634.5154,0,67896
7.5625,0.10,634.3821,0,67896
7.5000,0.10,629.1393,0,67896
7.5625,0.10,634.3694,0,67896
7.5625,0.10,634.4012,0,67896
7.5625,0.10,634.3504,0,67896
7.6250,0.10,639.6761,0,67896
7.5000,0.10,629.1267,0,67896
7.5625,0.10,634.0271,0,67896
7.5000,0.10,629.0512,0,67896
7.5625,0.10,634.8519,0,67896
7.5000,0.10,629.1834,0,67896
7.5000,0.10,629.1204,0,67896
7.5625,0.10,634.3821,0,67896
7.5625,0.10,634.3948,0,67896
7.5000,0.10,629.1456,0,67896
7.5000,0.10,629.1330,0,67896
7.5000,0.10,629.1456,0,67896
7.4375,0.10,623.9214,0,67896
7.5000,0.10,628.7809,0,67896
7.5625,0.10,634.7630,0,67896
7.5000,0.10,629.1708,0,67896
7.5000,0.10,629.0575,0,67896
7.5000,0.10,629.2211,0,67896
7.5000,0.10,629.1330,0,67896
7.4375,0.10,623.9027,0,67896
7.4375,0.10,623.9214,0,67896
7.4375,0.10,623.8715,0,67896
7.5000,0.10,629.0827,0,67896
7.5000,0.10,629.2148,0,67896
7.5000,0.10,629.1645,0,67896
7.4375,0.10,623.6533,0,67896
7.5000,0.10,629.3848,0,67896
7.4375,0.10,623.8902,0,67896
7.3750,0.10,618.6289,0,67896
7.4375,0.10,623.9339,0,67896
7.4375,0.10,623.9027,0,67896
7.5000,0.10,629.0072,0,67896
7.4375,0.10,623.9152,0,67896
7.4375,0.10,623.8466,0,67896
7.4375,0.10,623.7593,0,67896
7.3750,0.10,618.9569,0,67896
7.3750,0.10,618.3259,0,67896
7.4375,0.10,623.9214,0,67896
7.3750,0.10,618.7155,0,67896
7.4375,0.10,623.8466,0,67896
7.4375,0.10,623.9589,0,67896
7.4375,0.10,624.0650,0,67896
7.3125,0.10,613.2085,0,67896
7.3750,0.10,618.7155,0,67896
7.4375,0.10,623.9090,0,67896
7.3125,0.10,613.2943,0,67896
7.3750,0.10,618.7527,0,67896
7.4375,0.10,623.9339,0,67896
7.3750,0.10,618.5856,0,67896
7.3750,0.10,618.7155,0,67896
7.3750,0.10,618.7093,0,67896
7.3125,0.10,613.6686,0,67896
7.3750,0.10,618.6537,0,67896
7.3125,0.10,613.4170,0,67896
7.3125,0.10,613.3311,0,67896
7.3750,0.10,618.7465,0,67896
7.3125,0.10,613.4170,0,67896
7.3750,0.10,618.5671,0,67896
7.3750,0.10,618.3507,0,67896
7.3125,0.10,613.8159,0,67896
7.2500,0.10,608.0646,0,67896
7.3750,0.10,618.7836,0,67896
7.3125,0.10,613.4047,0,67896
7.2500,0.10,608.0950,0,67896
7.3125,0.10,613.4967,0,67896
7.3125,0.10,613.3986,0,67896
7.3125,0.10,613.4354,0,67896
7.3125,0.10,613.4354,0,67896
7.3125,0.10,613.4231,0,67896
7.2500,0.10,608.1558,0,67896
7.2500,0.10,608.1923,0,67896
7.3125,0.10,613.4170,0,67896
7.2500,0.10,608.1133,0,67896
7.2500,0.10,608.2045,0,67896
7.3125,0.10,613.3924,0,67896
7.2500,0.10,608.1923,0,67896
5.0625,0.10,424.6733,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
0.0000,0.10,0.0000,0,67896
29.7500,0.10,2495.5360,0,67896
34.1875,0.10,2869.1178,0,67896
1.6250,0.10,136.3203,0,67896
