megabytes,real_sec,rate_Mbps,retrans,cwnd
2.1875,0.10,183.4806,0,664
2.3750,0.10,199.1757,0,664
2.3750,0.10,199.2832,0,664
2.3750,0.10,199.2314,0,707
2.3750,0.10,199.1976,0,707
2.3125,0.10,193.7928,0,707
2.3750,0.10,199.3949,0,751
2.4375,0.10,204.5357,0,751
2.3125,0.10,193.9846,0,751
2.3750,0.10,199.1936,0,751
2.3750,0.10,199.2713,0,751
2.3750,0.10,199.1120,0,751
2.3750,0.10,199.2035,0,751
2.3125,0.10,194.0681,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.2932,0,751
2.3750,0.10,199.1856,0,751
2.3750,0.10,199.2653,0,751
2.3125,0.10,193.9943,0,751
2.3750,0.10,199.1836,0,751
2.4375,0.10,204.5112,0,751
2.3125,0.10,193.9827,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9827,0,751
2.4375,0.10,204.4764,0,751
2.3750,0.10,199.2314,0,751
2.3125,0.10,193.9827,0,751
2.3750,0.10,199.2334,0,751
2.3750,0.10,199.2294,0,751
2.3750,0.10,199.2294,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9885,0,751
2.4375,0.10,204.4703,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.2274,0,751
2.3750,0.10,199.1657,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2912,0,751
2.4375,0.10,204.4703,0,751
2.3125,0.10,193.9264,0,751
2.3750,0.10,199.1777,0,751
2.3125,0.10,194.0370,0,751
2.4375,0.10,204.5337,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2294,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.2434,0,751
2.3750,0.10,199.2195,0,751
2.3125,0.10,193.9943,0,751
2.4375,0.10,204.4621,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2274,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.2294,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9885,0,751
2.3750,0.10,199.2294,0,751
2.4375,0.10,204.4703,0,751
2.3125,0.10,193.9516,0,751
2.3750,0.10,199.1796,0,751
2.3750,0.10,199.2035,0,751
2.3750,0.10,199.2414,0,751
2.3750,0.10,199.2394,0,751
2.3125,0.10,193.9129,0,751
2.3750,0.10,199.2892,0,751
2.3750,0.10,199.1896,0,751
2.3750,0.10,199.2753,0,751
2.3750,0.10,199.2454,0,751
2.3125,0.10,193.9788,0,751
2.4375,0.10,204.4580,0,751
2.3750,0.10,199.2195,0,751
2.3125,0.10,193.9904,0,751
2.3750,0.10,199.2573,0,751
2.3750,0.10,199.2294,0,751
2.3750,0.10,199.2334,0,751
2.3750,0.10,199.2215,0,751
2.3125,0.10,193.9963,0,751
2.4375,0.10,204.4601,0,751
2.3125,0.10,193.9943,0,751
2.3750,0.10,199.2075,0,751
2.3750,0.10,199.2175,0,751
2.3750,0.10,199.1796,0,751
2.3750,0.10,199.3072,0,751
2.3125,0.10,193.9749,0,751
2.3750,0.10,199.2454,0,751
2.4375,0.10,204.3947,0,751
2.3125,0.10,194.0584,0,751
2.3750,0.10,199.2374,0,751
2.3125,0.10,193.9575,0,751
2.4375,0.10,204.4744,0,751
2.3750,0.10,199.2474,0,751
2.3125,0.10,193.9691,0,751
2.3750,0.10,199.2454,0,751
2.3750,0.10,199.2155,0,751
2.3750,0.10,199.2514,0,751
2.3750,0.10,199.1597,0,751
2.3125,0.10,194.0506,0,751
2.4375,0.10,204.4785,0,751
2.3125,0.10,193.9672,0,751
2.3125,0.10,193.9807,0,751
2.3125,0.10,193.9749,0,751
2.3750,0.10,199.2534,0,751
2.3750,0.10,199.2135,0,751
2.3125,0.10,193.9963,0,751
2.3125,0.10,193.9846,0,751
2.3750,0.10,199.2793,0,751
2.3750,0.10,199.1876,0,751
2.3125,0.10,193.9807,0,751
2.3125,0.10,193.9788,0,751
2.3750,0.10,199.2374,0,751
2.3125,0.10,193.9749,0,751
2.3125,0.10,193.9963,0,751
2.3750,0.10,199.2195,0,751
2.3750,0.10,199.2235,0,751
2.3125,0.10,194.0195,0,751
2.3125,0.10,193.9885,0,751
2.3750,0.10,199.2374,0,751
2.3125,0.10,193.9613,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2474,0,751
2.3750,0.10,199.2075,0,751
2.3125,0.10,193.9846,0,751
2.3125,0.10,194.0040,0,751
2.3125,0.10,193.9672,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9924,0,751
2.3750,0.10,199.2394,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9924,0,751
2.3125,0.10,193.9691,0,751
2.3125,0.10,194.0040,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9827,0,751
2.3750,0.10,199.2334,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2274,0,751
2.3125,0.10,193.9769,0,751
2.3125,0.10,193.9963,0,751
2.3750,0.10,199.2115,0,751
2.3125,0.10,193.9827,0,751
2.3750,0.10,199.2454,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2354,0,751
2.3125,0.10,193.9691,0,751
2.3125,0.10,194.0584,0,751
2.3125,0.10,193.9167,0,751
2.3750,0.10,199.2235,0,751
2.3750,0.10,199.2514,0,751
2.3125,0.10,193.9924,0,751
2.3125,0.10,193.9691,0,751
2.3750,0.10,199.2294,0,751
2.3125,0.10,193.9769,0,751
2.3125,0.10,193.9866,0,751
2.3750,0.10,199.2514,0,751
2.3750,0.10,199.2115,0,751
2.3125,0.10,193.9885,0,751
2.3125,0.10,194.0118,0,751
2.3750,0.10,199.2195,0,751
2.3125,0.10,193.9846,0,751
2.3125,0.10,193.9749,0,751
2.3750,0.10,199.3371,0,751
2.3750,0.10,199.2274,0,751
2.3125,0.10,193.9866,0,751
2.3125,0.10,193.9866,0,751
2.3125,0.10,193.9846,0,751
2.3750,0.10,199.2314,0,751
2.3750,0.10,199.1896,0,751
2.3125,0.10,194.0254,0,751
2.3750,0.10,199.2274,0,751
2.3125,0.10,193.9866,0,751
2.3125,0.10,193.9866,0,751
2.3125,0.10,193.9071,0,751
2.3750,0.10,199.2075,0,751
2.3750,0.10,199.2195,0,751
2.3125,0.10,194.0157,0,751
2.3125,0.10,193.9575,0,751
2.3750,0.10,199.2434,0,751
2.3125,0.10,193.9827,0,751
2.3125,0.10,194.0001,0,751
2.3750,0.10,199.1219,0,751
2.3750,0.10,199.3411,0,751
2.3125,0.10,193.9924,0,751
2.3125,0.10,193.9807,0,751
2.3750,0.10,199.2095,0,751
2.3125,0.10,193.9846,0,751
2.3125,0.10,193.9904,0,751
2.3750,0.10,199.2454,0,751
2.3750,0.10,199.2255,0,751
2.3125,0.10,193.9943,0,751
2.3125,0.10,193.9846,0,751
2.3125,0.10,193.9652,0,751
2.3750,0.10,199.2195,0,751
2.3125,0.10,193.9148,0,751
