megabytes,real_sec,rate_Mbps,retrans,cwnd
8.0000,0.10,670.8740,0,1765
9.5000,0.10,796.7106,0,1765
9.4375,0.10,792.0313,0,1765
9.4375,0.10,791.6828,0,1765
9.4375,0.10,791.5007,0,1765
9.4375,0.10,791.8412,0,1765
9.4375,0.10,791.6828,0,1765
9.4375,0.10,791.6670,0,1817
8.6875,0.10,728.7822,0,3303
6.5000,0.10,545.2432,0,4875
6.7500,0.10,566.1801,0,9358
6.2500,0.10,524.3404,0,12504
6.1875,0.10,519.0503,0,16628
6.1875,0.10,519.0295,0,20735
6.1875,0.10,518.5629,0,24851
6.1875,0.10,519.5335,0,28976
6.1875,0.10,519.0711,0,33083
6.1875,0.10,519.0503,0,37198
6.1875,0.10,519.0140,0,41332
6.1875,0.10,518.9932,0,45447
6.1875,0.10,518.9569,0,49537
6.2500,0.10,524.4191,0,53705
6.1875,0.10,519.0659,0,57803
6.1875,0.10,519.0347,0,61910
6.1875,0.10,519.0451,0,66035
6.1875,0.10,519.0347,0,70150
6.1875,0.10,519.0659,0,74249
6.1875,0.10,519.0295,0,78391
6.1875,0.10,519.0555,0,82506
6.1875,0.10,519.0451,0,86605
6.1875,0.10,519.0503,0,90729
6.1875,0.10,519.0451,0,94845
1.1875,0.10,99.6137,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
0.0000,0.10,0.0000,0,95649
8.0625,0.10,676.2233,0,100988
24.5625,0.10,2060.5343,0,117346
37.3750,0.10,3134.1766,0,131082
9.3750,0.10,786.3691,0,131082
6.6250,0.10,555.7453,269,61954
6.1875,0.10,519.3204,364,58843
6.1875,0.10,519.0451,411,56204
6.1875,0.10,519.0451,123,50970
6.1875,0.10,519.0295,90,45474
6.1875,0.10,519.0607,151,40528
6.2500,0.10,524.2828,126,35687
6.1875,0.10,519.0711,0,65537
6.1250,0.10,513.8022,0,65537
6.1250,0.10,513.6173,0,65537
6.1875,0.10,519.2113,0,65537
6.2500,0.10,523.8480,0,65537
6.1250,0.10,514.2342,0,65537
6.2500,0.10,523.9841,0,65537
