megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2396,0,87
0.1875,0.10,15.7275,0,87
0.3750,0.10,31.4661,0,209
0.8750,0.10,73.3842,0,419
1.6250,0.10,136.3831,0,830
2.8750,0.10,241.1580,0,1581
3.3750,0.10,283.1382,0,2158
3.8750,0.10,324.8766,0,2971
5.3125,0.10,445.8990,0,5470
5.3750,0.10,450.8381,0,5487
4.6250,0.10,388.0080,0,7471
5.9375,0.10,497.9441,0,10127
5.8125,0.10,487.6707,0,10215
5.9375,0.10,498.1284,0,13771
5.1250,0.10,429.9334,0,13858
5.9375,0.10,498.0437,0,13893
6.1875,0.10,519.0503,0,18752
6.1875,0.10,519.0399,0,18839
6.1875,0.10,519.0192,0,18900
6.1875,0.10,519.0763,0,18979
6.1875,0.10,519.0399,0,25498
6.1875,0.10,519.0659,0,25594
6.1875,0.10,519.0347,0,25690
5.0000,0.10,419.4304,0,25751
1.6250,0.10,136.3135,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
0.0000,0.10,0.0000,0,25751
1.0000,0.10,83.8819,0,25795
10.9375,0.10,917.3756,0,35180
52.0625,0.10,4368.0179,0,85678
3.1250,0.10,262.1519,0,85696
5.2500,0.10,440.0675,0,85774
5.5625,0.10,466.9712,0,85879
6.1875,0.10,519.0036,0,85949
6.1875,0.10,519.1022,0,86019
6.1875,0.10,519.0295,0,86133
6.1250,0.10,513.7509,0,86185
6.1875,0.10,519.1334,1646,51136
6.2500,0.10,524.2565,0,51136
6.1875,0.10,519.0451,0,51136
6.2500,0.10,524.2880,0,51136
6.1875,0.10,518.7909,0,51136
6.1875,0.10,519.3152,0,51136
6.2500,0.10,524.2932,0,51136
5.4375,0.10,456.1260,0,11141
0.4375,0.10,36.6991,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
0.0000,0.10,0.0000,0,11141
3.9375,0.10,330.3543,0,11141
43.0000,0.10,3603.6419,0,54963
17.0625,0.10,1432.6243,0,54963
5.6875,0.10,477.1164,0,54963
5.3750,0.10,450.8832,0,54972
5.4375,0.10,456.1351,0,54972
6.1875,0.10,519.0451,0,54972
6.1875,0.10,518.9725,0,54972
5.8750,0.10,492.8948,0,54972
4.0000,0.10,335.5410,0,54972
3.9375,0.10,330.3113,0,54972
6.0000,0.10,503.3064,772,16060
6.1875,0.10,518.8013,0,15868
5.5000,0.10,461.5858,0,15746
4.1250,0.10,346.0370,0,15667
4.3125,0.10,361.7732,0,15554
5.9375,0.10,498.0487,0,15423
5.9375,0.10,498.0736,0,15291
5.3125,0.10,445.6181,0,15187
4.3125,0.10,361.7804,0,15091
4.4375,0.10,372.2445,0,15003
5.9375,0.10,498.0437,0,14855
5.8750,0.10,492.8849,0,14724
5.1875,0.10,435.1373,0,27490
4.3750,0.10,367.0053,0,27490
4.5625,0.10,382.7264,0,27490
5.9375,0.10,498.0786,0,27490
5.8125,0.10,487.5878,0,27490
