nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8191 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.191
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=5.1875 real_sec=0.10 rate_Mbps=434.9981 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.8844 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=493.1217 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7026 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0836 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.2181 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.6780 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1981 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.5303 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.4025 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8455 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0736 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7962 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0836 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8356 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0686 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8159 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.8098 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=493.1118 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0587 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8751 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0736 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0437 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7962 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8701 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0636 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0885 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8504 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0437 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1085 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8061 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0736 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8307 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0686 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1085 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7962 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.8944 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7371 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7864 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1234 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8356 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1085 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1134 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8012 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0089 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.3477 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8258 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0985 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7568 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1035 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7322 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.9342 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.9640 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.9292 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.9540 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1433 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.9392 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.9242 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.2231 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7962 retrans=0 cwnd=1363
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.1035 retrans=0 cwnd=1363
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.5992 retrans=0 cwnd=1363
