megabytes,real_sec,rate_Mbps,retrans,cwnd
0.0625,0.10,5.2396,0,87
0.1875,0.10,15.7324,0,87
0.4375,0.10,36.7115,0,183
0.8750,0.10,73.3592,0,375
1.7500,0.10,146.8770,0,978
4.1875,0.10,351.2730,0,1817
4.7500,0.10,398.4629,0,3372
4.7500,0.10,398.4469,0,4587
4.6875,0.10,393.2278,0,6239
4.7500,0.10,398.4549,0,6265
4.6875,0.10,392.9409,0,8511
4.8125,0.10,403.9805,0,8563
4.6875,0.10,393.2199,0,8580
4.7500,0.10,398.4429,0,8580
4.6875,0.10,393.2278,0,8580
4.7500,0.10,398.4509,0,8580
4.7500,0.10,398.4549,0,8580
4.7500,0.10,398.3035,0,8580
4.6875,0.10,393.2199,0,8580
4.7500,0.10,398.4390,0,8580
4.6875,0.10,393.2199,0,8580
4.7500,0.10,398.6423,0,8580
4.7500,0.10,398.2120,0,8580
4.7500,0.10,398.6901,0,8580
4.6875,0.10,393.0941,0,8580
4.7500,0.10,398.5944,0,8580
4.6875,0.10,393.2317,0,8580
4.7500,0.10,398.4589,0,8580
4.7500,0.10,398.4390,0,8580
4.7500,0.10,398.4589,0,8580
4.6875,0.10,393.2160,0,8580
4.7500,0.10,398.2717,0,8580
4.7500,0.10,398.6662,0,8580
4.7500,0.10,398.3673,0,8580
4.6875,0.10,393.0824,0,8580
4.7500,0.10,398.5824,0,8580
4.7500,0.10,398.2876,0,8580
4.7500,0.10,398.7220,0,8580
4.6875,0.10,393.2003,0,8580
4.7500,0.10,398.4708,0,8580
4.6875,0.10,393.1295,0,8580
4.7500,0.10,398.5545,0,8580
4.7500,0.10,398.4549,0,8580
4.7500,0.10,398.4549,0,8580
4.6875,0.10,393.2199,0,8580
4.7500,0.10,398.4788,0,8580
4.6875,0.10,392.8703,0,8580
4.7500,0.10,398.7859,0,8580
4.7500,0.10,398.4629,0,8580
4.7500,0.10,398.4549,0,8580
4.6875,0.10,392.8742,0,8580
4.7500,0.10,398.5625,0,8580
4.7500,0.10,398.5187,0,8580
4.7500,0.10,398.4390,0,8580
4.6875,0.10,393.2475,0,8580
4.7500,0.10,398.4111,0,8580
4.6875,0.10,393.1334,0,8580
4.7500,0.10,398.5745,0,8580
4.7500,0.10,398.4668,0,8580
4.7500,0.10,398.5665,0,8580
4.6875,0.10,393.0745,0,8580
4.7500,0.10,398.5346,0,8580
4.7500,0.10,398.6104,0,8580
4.7500,0.10,398.4390,0,8580
4.6875,0.10,393.0745,0,8580
4.7500,0.10,398.4071,0,8580
4.6875,0.10,393.4245,0,8580
4.7500,0.10,398.4629,0,8580
4.7500,0.10,398.4748,0,8580
4.6875,0.10,393.1845,0,8580
4.7500,0.10,398.4748,0,8580
4.6875,0.10,393.2121,0,8580
